Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Bond,"$31,718,240,383.00",2.81%,"10,103,383",$115.99,-0.54%,No,No,0.82%,2.51%,0.59%,10.50%,16.03%,"$1,084,997,396.00","-$44,998,108.00","$836,283,983.00","-$3,715,267,887.00","$8,126,064,616.00","$16,647,709,616.00",Corporate Bonds,2002-07-26,0.15%,2 Platforms,$4.14,2018-12-18,$0.35,3.59%,0.00,0.06,1982,3.28%,35%,15%,1099,$112.42,$116.26,$115.84,$116.23,72.01,A-,A+,B+,B-,B-,A-,A,5.16,50.47%,37.52%,164.82,12.45%,4.93%
VCSH,Vanguard Short-Term Corporate Bond ETF,Bond,"$23,428,397,779.00",1.21%,"2,808,785",$78.72,-0.33%,No,No,0.43%,1.23%,2.58%,6.67%,9.62%,"$3,033,174,101.43","$141,755,840.79","$3,033,174,101.43","$2,015,262,545.62","$12,604,459,407.15","$16,282,459,643.62",Corporate Bonds,2009-11-23,0.07%,2 Platforms,$2.09,2019-02-01,$0.17,2.65%,0.00,-0.06,70,19.17%,35%,15%,1099,$77.53,$78.80,$78.66,$78.80,77.15,A,A,A-,A-,A,B-,A,5.26,21.92%,40.63%,219.67,10.97%,4.48%
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,Bond,"$21,234,421,673.00",2.40%,"2,061,179",$84.61,-0.65%,No,No,0.90%,2.25%,2.20%,10.71%,18.44%,"$2,621,470,155.95","$260,410,000.00","$2,571,604,318.54","$2,330,956,115.64","$14,937,469,437.45","$18,389,786,467.81",Corporate Bonds,2009-11-23,0.07%,2 Platforms,$3.00,2019-02-01,$0.24,3.52%,0.00,0.01,76,16.72%,35%,15%,1099,$82.25,$84.73,$84.51,$84.76,74.45,A+,A,B+,A,B+,A-,A,5.05,40.19%,34.65%,278.07,10.86%,4.21%
IGSB,iShares Short-Term Corporate Bond ETF,Bond,"$10,302,170,139.00",0.93%,"1,323,811",$52.12,-0.33%,No,No,0.23%,0.81%,2.34%,4.15%,5.61%,"-$39,185,830.00","-$46,771,587.00","-$39,185,830.00","-$137,718,506.00","-$137,718,506.00","-$137,718,506.00",Corporate Bonds,2007-01-11,0.06%,N/A,$1.78,2018-12-18,$0.14,3.42%,0.00,-0.06,1629,3.33%,N/A,N/A,N/A,$51.57,$52.23,$52.08,$52.14,69.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.26,27.82%,40.41%,256.16,10.08%,3.82%
IGIB,iShares Intermediate-Term Corporate Bond ETF,Bond,"$5,423,252,454.00",2.37%,"734,940",$53.66,-0.52%,No,No,0.58%,2.13%,2.48%,6.44%,10.71%,"$48,097,875.00","$34,669,550.00","$66,591,119.00","-$793,127,654.00","-$793,127,654.00","-$793,127,654.00",Corporate Bonds,2007-01-11,0.06%,N/A,$2.53,2018-12-18,$0.20,4.73%,0.00,0.02,1752,4.42%,N/A,N/A,N/A,$52.31,$53.87,$53.60,$53.74,72.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.16,50.00%,37.51%,323.59,11.23%,4.18%
JPST,JPMorgan Ultra-Short Income ETF,Bond,"$5,331,924,178.00",0.40%,"2,193,319",$50.22,0.00%,No,No,0.12%,0.40%,2.48%,N/A,N/A,"$180,819,942.00","$52,786,206.50","$215,895,694.50","$5,245,212,859.50","$5,357,839,433.00","$5,357,839,433.00",Money Market,2017-05-17,0.18%,N/A,$1.09,2019-01-31,$0.12,2.16%,0.00,0.03,130,80.73%,39%,20%,1099,$49.96,$50.23,N/A,N/A,80.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.87,69.17%,62.00%,243.73,6.37%,2.11%
SPSB,SPDR Portfolio Short Term Corporate Bond ETF,Bond,"$4,647,025,690.00",0.60%,"1,338,537",$30.32,-0.30%,No,No,0.13%,0.66%,2.27%,5.17%,6.77%,"-$108,744,025.00","-$27,235,265.00","-$120,808,249.00","$998,624,073.00","$1,501,244,457.00","$1,501,244,457.00",Corporate Bonds,2009-12-16,0.07%,N/A,$0.71,2018-12-19,$0.07,2.35%,0.00,0.01,972,7.25%,39%,20%,1099,$30.08,$30.38,$30.29,$30.34,67.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.29,29.32%,41.54%,243.23,11.03%,4.03%
SPIB,SPDR Portfolio Intermediate Term Corporate Bond ETF,Bond,"$4,111,649,596.00",1.60%,"1,365,881",$33.57,-0.44%,No,No,0.42%,1.51%,2.07%,7.36%,12.02%,"$39,901,237.00","-$13,367,786.00","$69,645,996.00","$890,296,622.00","$1,799,747,821.00","$1,799,747,821.00",Corporate Bonds,2009-02-10,0.07%,N/A,$1.00,2018-12-19,$0.09,2.99%,0.00,0.01,2428,6.94%,39%,20%,1099,$32.94,$33.64,$33.53,$33.60,69.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.16,49.53%,37.46%,258.04,11.02%,4.26%
USIG,iShares Broad USD Investment Grade Corporate Bond ETF,Bond,"$2,541,125,498.00",1.85%,"328,345",$53.93,-0.52%,No,No,0.52%,1.62%,0.83%,9.08%,14.49%,"$146,342,330.50","$24,110,981.50","$122,505,105.50","$1,037,686,196.00","$1,037,686,196.00","$1,037,686,196.00",Corporate Bonds,2007-01-11,0.06%,N/A,$2.69,2018-12-18,$0.17,5.02%,0.00,0.04,4733,2.79%,N/A,N/A,N/A,$52.74,$54.06,$53.87,$53.99,69.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.19,54.67%,38.33%,400.51,13.94%,4.03%
VCLT,Vanguard Long-Term Corporate Bond ETF,Bond,"$2,491,559,901.00",3.75%,"274,021",$88.06,-0.62%,No,No,1.70%,3.52%,-1.53%,19.42%,27.20%,"$76,875,000.00",$0.00,"-$25,581,000.00","$270,231,999.68","$1,506,743,942.85","$1,974,252,210.15",Corporate Bonds,2009-11-23,0.07%,2 Platforms,$3.89,2019-02-01,$0.32,4.39%,0.00,0.12,78,17.24%,35%,15%,1099,$84.35,$87.85,N/A,N/A,72.68,B+,A-,B+,C+,C+,A,A,5.21,60.75%,39.09%,534.45,20.74%,4.82%
