Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,Bond,"$14,463,242,384.00",4.41%,"26,542,336",$84.68,-0.51%,No,No,0.32%,2.78%,2.44%,25.07%,18.63%,"$495,984,107.00","$513,889,299.00","$1,070,434,403.00","-$100,296,078.00","-$938,040,730.00","$1,666,717,270.00",High Yield Bonds,2007-04-11,0.49%,Fidelity,$4.49,2018-12-18,$0.39,5.33%,0.00,0.30,967,4.41%,35%,15%,1099,$82.78,$85.24,$84.56,$84.78,60.22,A,A,B-,B+,B,A,A,3.69,28.05%,4.44%,359.71,6.31%,1.77%
JNK,SPDR Barclays High Yield Bond ETF,Bond,"$8,554,309,161.00",4.70%,"18,822,116",$35.17,-0.51%,No,No,0.34%,3.11%,1.57%,22.71%,12.27%,"$1,256,509,950.00","$472,687,525.00","$1,474,870,525.00","-$2,427,166,475.00","-$1,768,653,350.94","$99,417,198.28",High Yield Bonds,2007-11-28,0.40%,TD Ameritrade,$1.98,2018-12-19,$0.17,5.62%,0.00,0.32,848,5.87%,35%,15%,1099,$34.32,$35.44,$35.10,$35.23,60.50,A+,A+,A-,B,B,A,A,3.8,49.39%,5.65%,374.4,6.49%,1.58%
SJNK,SPDR Barclays Capital Short Term High Yield Bond ETF,Bond,"$3,168,167,014.00",3.30%,"3,295,769",$26.89,-0.55%,No,No,0.04%,2.17%,2.37%,23.52%,11.73%,"$478,447,479.00","$96,629,256.00","$525,207,441.00","-$1,066,414,332.00","$120,981,315.00","$352,925,492.00",High Yield Bonds,2012-03-15,0.40%,N/A,$1.48,2018-12-19,$0.13,5.51%,0.00,0.25,713,8.84%,35%,15%,1099,$26.43,$27.07,$26.84,$26.93,58.08,A,A,A-,B,B+,A-,A,3.7,30.79%,4.54%,352.43,5.85%,1.53%
SHYG,iShares 0-5 Year High Yield Corporate Bond ETF,Bond,"$2,392,339,032.00",3.46%,"1,088,618",$46.09,-0.58%,No,No,0.20%,2.15%,3.21%,19.60%,13.89%,"$69,413,392.00","$13,742,550.00","$113,968,488.00","-$1,262,706,346.00","$1,461,753,610.00","$2,455,828,610.00",High Yield Bonds,2013-10-15,0.30%,N/A,$2.63,2018-12-18,$0.25,5.70%,0.00,0.22,635,6.65%,35%,15%,1099,$45.24,$46.38,$46.02,$46.16,59.73,N/A,N/A,A+,N/A,N/A,B+,A,3.61,13.72%,3.77%,314.66,5.36%,1.47%
HYLB,Xtrackers USD High Yield Corporate Bond ETF,Bond,"$2,318,149,075.00",4.25%,"1,038,834",$48.78,-0.55%,No,No,0.33%,3.06%,2.36%,N/A,N/A,"$397,864,476.50","$43,851,337.50","$400,202,834.50","$1,702,250,743.00","$2,401,396,467.00","$2,401,396,467.00",High Yield Bonds,2016-12-07,0.20%,N/A,$2.78,2018-12-21,$0.25,5.71%,0.00,0.22,1042,3.88%,20%,39%,1099,$47.66,$49.12,$48.69,$48.83,60.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.79,47.56%,5.51%,364.44,6.37%,1.88%
HYS,PIMCO 0-5 Year High Yield Corporate Bond Index Fund,Bond,"$1,435,210,224.00",3.47%,"378,285",$98.42,-0.34%,No,No,0.22%,2.30%,2.31%,24.11%,16.68%,"$162,162,239.00","$29,494,439.00","$205,146,781.00","-$232,059,705.00","-$485,232,431.50","-$2,008,586,866.00",High Yield Bonds,2011-06-16,0.56%,Charles Schwab,$4.73,2018-12-28,$0.32,4.79%,0.00,0.27,279,14.53%,35%,15%,1099,$96.71,$99.16,$98.22,$98.60,58.96,A-,A-,C+,B+,B+,B+,A-,3.6,11.59%,3.71%,271.73,5.18%,1.29%
HYLS,First Trust Tactical High Yield ETF,Bond,"$1,154,798,308.00",5.31%,"324,873",$47.01,0.04%,No,No,0.60%,3.87%,2.49%,19.05%,19.86%,"-$57,121,995.00","-$2,341,465.50","-$18,759,311.00","-$34,456,490.00","$604,790,522.24","$1,092,755,417.77",High Yield Bonds,2013-02-27,1.10%,N/A,$2.60,2019-01-23,$0.22,5.54%,0.00,0.25,184,22.92%,35%,15%,1099,$45.70,$47.29,$46.91,$47.07,65.82,C+,C+,C,N/A,B-,A-,A-,N/A,N/A,N/A,N/A,N/A,N/A
ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,Bond,"$861,262,183.00",5.40%,"524,895",$28.11,-0.35%,No,No,0.86%,3.42%,-1.05%,38.42%,37.63%,"$60,754,358.50","$2,800,106.00","$60,754,358.50","-$340,998,530.50","$768,114,012.50","$842,712,602.50",High Yield Bonds,2012-04-10,0.35%,N/A,$1.60,2018-12-27,$0.14,5.71%,0.00,0.33,224,37.42%,35%,15%,1099,$27.38,$28.30,$28.05,$28.18,62.51,B,C,B+,A,C,A-,B+,4.14,86.89%,10.61%,335.09,5.87%,1.09%
PHB,Invesco Fundamental High Yield® Corporate Bond ETF,Bond,"$641,039,316.00",4.54%,"676,961",$18.41,-0.11%,No,No,0.77%,3.55%,2.20%,22.46%,19.09%,"-$207,540,312.00","$5,496,443.00","-$186,251,684.00","-$590,527,314.00","-$66,542,898.00","$13,688,099.00",High Yield Bonds,2007-11-15,0.50%,Charles Schwab,$0.85,2019-01-22,$0.07,4.63%,0.00,0.25,234,10.01%,35%,15%,1099,$17.85,$18.46,N/A,N/A,68.86,B,A,B-,C+,B,B+,B+,4.05,83.23%,9.06%,344.29,5.10%,3.19%
USHY,iShares Broad USD High Yield Corporate Bond ETF,Bond,"$393,711,114.00",4.08%,"69,263",$47.71,-0.65%,No,No,0.28%,2.98%,1.25%,N/A,N/A,"$22,777,635.00",$0.00,$0.00,"$188,121,864.50","$349,801,621.50","$349,801,621.50",High Yield Bonds,2017-10-25,0.22%,N/A,$2.89,2018-12-18,$0.25,6.06%,0.00,0.18,1703,5.74%,39%,20%,1099,$46.62,$48.07,$47.59,$47.79,59.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.84,56.40%,6.16%,334.64,5.18%,1.73%
