Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
BSCK,Invesco BulletShares 2020 Corporate Bond ETF,Bond,"$1,623,178,683.00",0.58%,"567,621",$21.15,0.05%,No,No,0.28%,0.63%,2.10%,7.52%,13.64%,"$94,669,881.00","$9,473,875.50","$66,271,204.50","$522,933,510.00","$1,151,022,465.00","$1,537,552,299.00",Corporate Bonds,2012-03-28,0.10%,Charles Schwab,$0.50,2019-01-22,$0.04,2.37%,0.00,0.01,326,22.01%,35%,15%,1099,$20.98,$21.14,$21.13,$21.17,70.21,B+,A-,B-,A,B+,B,B+,5.25,27.07%,40.11%,141.98,11.51%,4.86%
BSCJ,Invesco BulletShares 2019 Corporate Bond ETF,Bond,"$1,374,080,827.00",0.17%,"444,134",$21.06,-0.09%,No,No,-0.19%,0.12%,2.12%,6.25%,10.83%,"$47,352,199.50",$0.00,"$44,200,905.00","$337,375,096.50","$898,780,608.00","$1,283,442,766.50",Money Market,2012-03-28,0.10%,Charles Schwab,$0.44,2019-01-22,$0.04,2.11%,0.00,-0.06,259,29.99%,35%,15%,1099,$20.87,$21.23,$21.04,$21.08,54.09,B+,A-,B-,A,A,B-,B+,5.4,36.84%,45.01%,184.77,9.08%,3.27%
BSCL,Invesco BulletShares 2021 Corporate Bond ETF,Bond,"$1,311,806,160.00",0.89%,"388,084",$20.89,-0.05%,No,No,0.38%,0.93%,1.84%,8.53%,15.45%,"$114,976,648.50","$6,227,047.50","$93,218,253.00","$428,070,094.50","$1,042,775,940.00","$1,286,073,624.00",Corporate Bonds,2013-07-16,0.10%,Charles Schwab,$0.49,2019-01-22,$0.05,2.36%,0.00,0.01,350,23.31%,35%,15%,1099,$20.64,$20.89,$20.86,$20.91,72.50,B,A-,B-,B+,B+,B,B,5.32,32.33%,42.63%,179.47,10.10%,3.86%
BSCM,Invesco BulletShares 2022 Corporate Bond ETF,Bond,"$1,032,237,402.00",1.40%,"300,105",$20.85,-0.14%,No,No,0.53%,1.40%,2.35%,10.55%,17.98%,"$77,369,929.50","$15,537,723.00","$71,179,768.50","$327,336,348.00","$805,737,361.50","$1,022,174,445.00",Corporate Bonds,2013-07-16,0.10%,Charles Schwab,$0.61,2019-01-22,$0.05,2.94%,0.00,0.04,348,17.63%,35%,15%,1099,$20.48,$20.88,$20.82,$20.88,74.43,B,A-,C+,A-,B,B+,B,5.34,68.22%,43.01%,162.27,10.52%,5.71%
IBDL,iShares iBonds Dec 2020 Corporate ETF,Bond,"$991,026,392.00",0.48%,"249,623",$25.10,-0.32%,No,No,-0.08%,0.28%,1.86%,5.24%,N/A,"$72,490,665.50","$5,016,788.50","$56,253,629.00","$462,046,614.00","$906,003,803.50","$979,965,303.50",Corporate Bonds,2014-12-02,0.10%,N/A,$0.59,2018-12-18,$0.05,2.35%,0.00,0.01,526,6.91%,39%,20%,1099,$24.98,$25.17,$25.06,$25.16,59.13,A,B+,A+,C+,B+,A,N/A,5.38,35.34%,44.22%,202.42,11.84%,4.80%
IBDM,iShares iBonds Dec 2021 Corporate ETF,Bond,"$968,994,760.00",0.57%,"227,066",$24.50,-0.33%,No,No,0.12%,0.57%,2.05%,6.31%,N/A,"$55,913,957.50","$4,884,254.00","$44,982,503.50","$359,688,392.50","$915,324,967.00","$955,499,967.00",Corporate Bonds,2015-03-10,0.10%,N/A,$0.63,2018-12-18,$0.05,2.60%,0.00,0.02,566,6.99%,39%,20%,1099,$24.30,$24.55,$24.47,$24.53,64.95,A-,B+,A-,N/A,B,A-,A-,5.41,39.10%,45.25%,215.95,10.46%,4.23%
IBDK,iShares iBonds Dec 2019 Term Corporate ETF,Bond,"$790,724,344.00",0.00%,"232,395",$24.80,-0.28%,No,No,-0.16%,0.08%,1.94%,5.08%,N/A,"$48,315,316.50","$8,690,871.00","$47,078,137.50","$310,412,306.50","$728,728,958.00","$782,977,958.00",Money Market,2015-03-10,0.10%,N/A,$0.52,2018-12-18,$0.04,2.08%,0.00,0.01,397,21.95%,39%,20%,1099,$24.77,$24.87,$24.78,$24.84,51.62,A-,B+,A,N/A,B+,B,A-,5.53,43.61%,49.70%,239.87,10.86%,3.70%
IBDN,iShares iBonds Dec 2022 Corporate ETF,Bond,"$665,593,880.00",1.57%,"163,197",$24.55,-0.37%,No,No,0.24%,0.99%,2.20%,7.57%,N/A,"$43,691,477.50","$6,116,259.50","$40,057,507.00","$236,081,260.00","$618,202,387.50","$647,268,887.50",Corporate Bonds,2015-03-10,0.10%,N/A,$0.69,2018-12-18,$0.05,2.83%,0.00,0.06,505,7.25%,39%,20%,1099,$24.21,$24.61,$24.51,$24.59,67.12,A,B+,A,N/A,B,A,B+,5.27,64.49%,40.71%,245.38,12.09%,5.52%
BSCN,Invesco BulletShares 2023 Corporate Bond ETF,Bond,"$569,070,441.00",1.73%,"198,116",$20.47,-0.15%,No,No,0.69%,1.83%,2.04%,10.91%,N/A,"$60,607,957.50","$6,101,044.50","$54,542,662.50","$229,661,574.00","$520,982,614.50","$560,468,941.50",Corporate Bonds,2014-09-17,0.10%,Charles Schwab,$0.56,2019-01-22,$0.05,2.73%,0.00,-0.01,290,23.64%,35%,15%,1099,$20.03,$20.50,$20.44,$20.51,72.05,B,A-,B-,A,B,B+,B-,5.0,35.05%,33.43%,217.96,11.98%,3.92%
IBDO,iShares iBonds Dec 2023 Corporate ETF,Bond,"$556,399,505.00",1.45%,"145,098",$24.54,-0.49%,No,No,0.41%,1.28%,2.08%,8.75%,N/A,"$30,230,163.50",$0.00,"$21,771,752.00","$238,789,624.00","$527,374,137.00","$550,178,137.00",Corporate Bonds,2015-03-11,0.10%,N/A,$0.75,2018-12-18,$0.06,3.06%,0.00,0.04,451,10.30%,39%,20%,1099,$24.10,$24.60,$24.47,$24.62,66.72,B+,B,A-,N/A,B-,A,B,5.14,49.07%,37.06%,235.62,11.94%,4.48%
