Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
GLD,SPDR Gold Trust,Commodity,"$34,644,101,460.00",2.68%,"9,246,475",$124.50,-0.20%,No,No,1.33%,2.52%,-2.79%,16.41%,3.67%,"$1,514,351,840.00","$589,136,240.00","$1,077,350,334.00","-$466,741,532.00","$6,592,814,779.00","$2,786,124,189.00",Precious Metals,2004-11-18,0.40%,N/A,$0.00,N/A,N/A,0.00%,0.00,-0.24,1,100.00%,35%,28%,1099,$120.00,$124.69,$124.23,$124.91,67.85,A-,A+,A-,B,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IAU,iShares Gold Trust,Commodity,"$12,397,608,000.00",2.69%,"14,529,810",$12.62,-0.16%,No,No,1.37%,2.44%,-2.70%,17.07%,4.56%,"$509,676,004.48","-$11,234,598.40","$390,182,611.20","$1,338,751,130.81","$5,377,014,667.81","$5,631,960,042.81",Precious Metals,2005-01-28,0.25%,N/A,$0.00,N/A,N/A,0.00%,0.00,-0.24,1,100.00%,35%,28%,1099,$12.16,$12.64,$12.59,$12.67,68.81,A,A,A+,B+,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SLV,iShares Silver Trust,Commodity,"$4,972,370,759.00",2.75%,"8,568,164",$14.92,-0.86%,No,No,1.22%,1.29%,-8.18%,9.79%,-19.13%,"-$98,716,000.64","$54,875,528.96","-$98,716,000.64","$270,136.01","$143,670,376.51","$23,480,356.51",Precious Metals,2006-04-28,0.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.03,1,100.00%,39%,28%,1099,$14.28,$15.07,$14.86,$15.03,63.84,C+,A,A-,C+,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DBC,Invesco DB Commodity Index Tracking Fund,Commodity,"$2,049,887,762.00",8.07%,"2,720,213",$15.66,0.90%,No,No,0.71%,5.45%,-8.16%,24.10%,-36.25%,"-$48,228,822.00","-$62,261,384.00","-$65,660,070.00","-$218,806,396.00","-$190,010,738.95","-$1,335,153,597.21",Commodities,2006-02-03,0.85%,2 Platforms,$0.19,2018-12-24,$0.19,1.21%,0.00,0.41,14,85.84%,23%,23%,K-1,$14.97,$15.75,N/A,N/A,55.95,A,A+,C+,A-,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,Commodity,"$1,847,102,202.00",8.29%,"1,760,289",$16.32,0.93%,No,No,0.99%,5.63%,-9.10%,23.26%,N/A,"-$143,339,018.00",$0.00,"-$132,826,320.00","$1,172,215,465.00","$1,809,792,040.00","$2,029,489,651.01",Commodities,2014-11-07,0.59%,N/A,$0.15,2018-12-24,$0.15,0.93%,0.00,0.43,14,82.79%,35%,15%,1099,$15.58,$16.38,N/A,N/A,56.48,N/A,N/A,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USO,United States Oil Fund,Commodity,"$1,716,745,890.00",20.39%,"35,250,796",$11.63,2.47%,No,No,3.38%,14.24%,-12.16%,20.52%,-66.58%,"-$49,946,603.00","-$28,546,215.00","-$21,446,645.00","-$205,445,292.00","-$3,039,420,483.00","$2,110,729,540.00",Oil & Gas,2006-04-10,0.77%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.78,1,100.00%,23%,23%,K-1,$10.32,$11.66,$11.45,$11.75,57.05,A,A+,A+,A,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GSG,iShares S&P GSCI Commodity-Indexed Trust,Commodity,"$1,301,148,000.00",9.84%,"1,116,008",$15.40,1.38%,No,No,1.18%,6.57%,-9.94%,14.24%,-51.08%,"-$24,157,500.00","-$21,177,000.00","-$43,881,500.00","-$1,323,668,655.50","-$753,985,626.00","-$409,152,126.00",Commodities,2006-07-21,0.75%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.54,24,83.82%,23%,23%,K-1,$14.58,$15.47,N/A,N/A,54.78,B+,A,B,A,B-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SGOL,Aberdeen Standard Physical Swiss Gold Shares ETF,Commodity,"$890,137,430.00",2.73%,"49,647",$127.06,-0.19%,No,No,1.39%,2.43%,-2.59%,16.49%,3.82%,"$18,570,752.50",$0.00,"$12,384,373.00","-$167,952,904.50","-$43,894,478.00","-$184,844,968.00",Precious Metals,2009-09-09,0.17%,Charles Schwab,$0.00,N/A,N/A,0.00%,0.00,-0.24,1,100.00%,35%,28%,1099,$122.44,$127.25,$126.78,$127.47,68.16,A+,A-,A,B+,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DJP,iPath Dow Jones-UBS Commodity ETN,Commodity,"$754,013,955.00",6.31%,"712,297",$22.56,0.58%,No,No,0.09%,4.01%,-10.23%,7.38%,-38.70%,"-$36,456,233.40","-$12,187,797.62","-$64,967,642.66","-$172,904,159.47","-$143,368,906.46","-$44,692,633.73",Commodities,2006-06-06,0.75%,TD Ameritrade,$0.00,N/A,N/A,0.00%,0.00,0.38,19,73.26%,35%,15%,1099,$21.74,$22.72,N/A,N/A,53.28,A-,A,B,B-,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PPLT,Aberdeen Standard Platinum Shares ETF,Commodity,"$542,921,698.00",4.04%,"78,319",$78.28,0.62%,No,No,1.02%,0.52%,-18.40%,-6.78%,-41.70%,"$26,820,205.50","$19,224,037.50","$26,820,205.50","$87,861,133.50","$214,077,636.50","$159,333,406.50",Precious Metals,2010-01-06,0.60%,Charles Schwab,$0.00,N/A,N/A,0.00%,0.00,0.25,1,100.00%,35%,28%,1099,$74.93,$78.83,$77.91,$78.75,56.41,A,B+,B+,A,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
