Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
FXY,Invesco CurrencyShares® Japanese Yen Trust ,Currency,"$416,583,312.00",0.11%,"259,119",$87.21,-0.50%,No,No,0.02%,-0.95%,-0.65%,9.00%,-8.76%,"$240,313,023.50","$196,451,928.00","$231,610,034.50","$242,037,407.00","$54,427,249.00","$172,193,888.00",Currency,2007-02-12,0.40%,Charles Schwab,$0.00,N/A,N/A,0.00%,0.00,-0.20,1,100.00%,35%,35%,1099,$86.82,$88.43,$87.05,$87.47,54.29,C+,A,B+,C,B-,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UUP,Invesco DB US Dollar Index Bullish Fund,Currency,"$386,178,144.00",-0.24%,"821,215",$25.39,0.00%,No,No,-0.20%,-0.27%,10.94%,-0.77%,17.55%,"-$127,075,066.00",$0.00,"-$116,882,410.00","-$169,131,132.00","-$547,639,628.00","-$467,279,404.00",Currency,2007-02-20,0.75%,N/A,$0.28,2018-12-24,$0.28,1.09%,0.00,-0.12,6,-100.00%,23%,23%,K-1,$25.26,$25.62,$25.35,$25.42,47.05,A,A+,B-,B,A,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FXE,Invesco CurrencyShares® Euro Currency Trust ,Currency,"$235,609,878.00",-0.05%,"288,850",$109.42,0.10%,No,No,0.37%,0.45%,-9.17%,3.26%,-17.91%,"-$81,816,732.50","-$16,353,396.00","-$71,002,581.50","-$100,227,454.50","-$89,549,450.50","$7,356,949.50",Currency,2005-12-09,0.40%,Charles Schwab,$0.00,2011-12-01,$0.01,0.00%,0.00,0.16,1,100.00%,35%,35%,1099,$108.18,$110.13,N/A,N/A,52.41,A,A,A-,A+,A-,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FXF,Invesco CurrencyShares® Swiss Franc Trust ,Currency,"$169,039,368.00",-1.35%,"24,485",$93.60,-0.10%,No,No,-0.26%,-0.98%,-8.04%,-0.61%,-13.33%,"-$4,750,946.50",$0.00,"-$4,750,946.50","-$2,265,146.50","-$26,146,240.50","-$91,521,295.50",Currency,2006-06-26,0.40%,Charles Schwab,$0.00,2008-11-03,$0.08,0.00%,0.00,0.10,1,100.00%,35%,35%,1099,$92.91,$95.45,$93.44,$93.77,46.13,B+,B+,A-,A-,B+,B-,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FXC,Invesco CurrencyShares® Canadian Dollar Trust ,Currency,"$150,328,080.00",4.22%,"39,252",$75.31,0.20%,No,No,0.97%,2.25%,-5.92%,6.86%,-15.06%,"-$18,373,814.50","-$3,722,645.00","-$14,748,506.50","$21,908,882.50","-$27,377,281.50","-$48,647,393.50",Currency,2006-06-26,0.40%,Charles Schwab,$0.33,2019-01-02,$0.03,0.45%,0.00,0.37,1,100.00%,35%,35%,1099,$73.53,$75.18,$75.19,$75.41,60.94,A,A-,A,B,A,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EUO,ProShares UltraShort Euro,Currency,"$140,158,807.00",0.45%,"114,982",$24.36,-0.20%,Yes,2x,-0.61%,-0.57%,24.67%,-5.14%,37.63%,"-$17,157,986.50",$0.00,"-$14,730,966.50","-$85,377,437.00","-$314,806,109.00","-$441,157,472.90",Leveraged Currency,2008-11-24,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,-0.22,1,100.00%,23%,23%,K-1,$24.00,$24.89,N/A,N/A,48.78,A,A+,B,C+,A+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FXB,Invesco CurrencyShares® British Pound Sterling Trust ,Currency,"$133,974,697.00",2.63%,"92,103",$126.90,-0.27%,No,No,-0.97%,2.70%,-8.50%,-9.01%,-21.64%,"-$6,237,308.00",$0.00,"-$6,237,308.00","-$19,522,976.50","$108,965,841.50","$116,918,411.50",Currency,2006-06-26,0.40%,Charles Schwab,$0.00,2009-03-02,$0.01,0.00%,0.00,0.41,1,100.00%,35%,35%,1099,$122.52,$128.48,$126.77,$127.05,57.85,A-,A-,A,B,A-,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FXA,Invesco CurrencyShares® Australian Dollar Trust ,Currency,"$113,114,737.00",2.98%,"24,135",$72.49,-0.34%,No,No,0.93%,1.74%,-9.05%,5.22%,-12.13%,"-$6,999,272.00",$0.00,$0.00,"-$47,255,055.00","-$109,540,324.50","-$206,682,096.50",Currency,2006-06-26,0.40%,Charles Schwab,$0.76,2019-01-02,$0.06,1.04%,0.00,0.40,1,100.00%,35%,35%,1099,$70.85,$72.66,$72.38,$72.64,56.35,A-,A,A-,C+,B+,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YCS,ProShares UltraShort Yen,Currency,"$51,768,943.00",0.47%,"10,789",$74.21,1.38%,Yes,2x,0.64%,2.61%,5.13%,-16.30%,11.43%,"-$3,601,776.50",$0.00,"-$3,601,776.50","-$52,246,291.00","-$149,133,313.50","-$479,126,403.73",Leveraged Currency,2008-11-24,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.40,1,100.00%,23%,23%,K-1,$71.63,$74.63,$73.66,$74.48,48.45,A,A,C+,A+,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USDU,WisdomTree Bloomberg U.S. Dollar Bullish Fund,Currency,"$50,974,098.00",-1.04%,"34,481",$26.77,-0.04%,No,No,-0.28%,-0.56%,8.45%,-3.01%,8.17%,"-$26,798,126.50","-$25,454,127.50","-$26,798,126.50","-$48,556,172.50","-$190,956,581.50","$13,536,147.15",Currency,2013-12-18,0.50%,2 Platforms,$0.24,2018-12-24,$0.24,0.89%,0.00,-0.14,12,196.39%,35%,15%,1099,$26.57,$27.08,$26.75,$26.82,45.57,N/A,N/A,B,N/A,N/A,N/A,N/A,6.7,0.00%,87.11%,0.0,0.00%,0.00%
UDN,Invesco DB US Dollar Index Bearish Fund,Currency,"$33,765,692.00",0.57%,"38,669",$21.11,0.05%,Yes,No,0.24%,0.57%,-8.01%,0.79%,-19.81%,"$4,217,820.00",$0.00,"$4,217,820.00","-$4,236,650.00","-$17,581,576.00","-$19,094,558.00",Currency,2007-02-20,0.75%,N/A,$0.27,2018-12-24,$0.27,1.26%,0.00,0.11,6,100.00%,23%,23%,K-1,$20.90,$21.19,$21.08,$21.14,54.95,A-,B+,B,B+,A-,B-,N/A,N/A,N/A,N/A,N/A,N/A,N/A
