Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
PFF,iShares U.S. Preferred Stock ETF,Preferred Stock,"$14,088,080,688.00",4.73%,"4,191,852",$35.85,-0.86%,No,No,0.17%,2.49%,1.61%,7.43%,22.92%,"-$29,079,294.50","$218,870,034.50","$64,235,212.50","-$2,247,485,212.00","$1,382,979,113.50","$6,955,656,830.00",Preferred Stock/Convertible Bonds,2007-03-30,0.46%,Fidelity,$2.16,2018-12-18,$0.26,6.00%,15.29,0.16,457,13.99%,35%,15%,1099,$34.84,$36.13,$35.70,$36.00,63.48,A+,A+,A-,A,A-,A-,A+,4.34,13.62%,14.93%,115.94,2.46%,2.00%
PGX,Invesco Preferred ETF,Preferred Stock,"$4,553,634,634.00",6.06%,"2,649,574",$14.22,0.00%,No,No,1.28%,3.07%,4.57%,13.89%,37.21%,"-$61,743,019.00","$11,280,100.00","-$58,858,405.50","-$456,976,704.00","$1,237,833,091.00","$2,721,753,108.00",Preferred Stock/Convertible Bonds,2008-01-31,0.52%,Charles Schwab,$0.89,2019-01-22,$0.07,6.24%,0.00,0.08,261,15.79%,35%,15%,1099,$13.69,$14.21,$14.16,$14.26,75.38,A,A,B+,B+,A,A,A,4.36,15.02%,15.17%,364.1,8.52%,2.14%
FPE,First Trust Preferred Securities and Income ETF,Preferred Stock,"$3,090,739,109.00",4.60%,"1,584,124",$18.70,-0.16%,No,No,0.97%,3.73%,0.05%,18.09%,35.96%,"-$109,183,007.50","-$13,932,937.50","-$81,240,262.50","-$67,754,503.00","$2,591,463,839.00","$3,206,666,808.50",Preferred Stock/Convertible Bonds,2013-02-11,0.85%,N/A,$1.09,2019-01-23,$0.08,5.84%,1694.92,0.12,51,91.43%,35%,15%,1099,$18.04,$18.77,N/A,N/A,70.04,C+,B-,C+,N/A,B,C,A-,5.19,49.30%,38.39%,364.97,5.39%,0.67%
PGF,Invesco Financial Preferred ETF,Preferred Stock,"$1,416,874,467.00",4.56%,"855,732",$18.07,-0.22%,No,No,0.56%,2.61%,4.27%,14.16%,38.05%,"-$64,507,447.00","$17,942,291.50","-$45,228,705.00","-$120,439,116.50","-$231,050,194.00","$3,842,525.00",Preferred Stock/Convertible Bonds,2006-12-01,0.63%,N/A,$1.08,2019-01-22,$0.08,5.98%,0.00,0.08,90,25.66%,35%,15%,1099,$17.50,$18.11,$18.01,$18.12,71.21,B+,A,B-,A-,A+,A,B,4.39,22.05%,16.00%,9.06,0.00%,1.00%
PSK,SPDR Wells Fargo Preferred Stock ETF,Preferred Stock,"$623,902,728.00",5.71%,"167,873",$41.82,-0.36%,No,No,0.89%,2.85%,4.34%,10.90%,35.19%,"-$2,957.50",$0.00,"-$2,016,000.00","$117,546,384.00","$282,126,181.00","$421,493,798.50",Preferred Stock/Convertible Bonds,2009-09-16,0.45%,N/A,$2.56,2018-12-19,$0.36,6.11%,0.00,0.06,151,16.78%,35%,15%,1099,$40.50,$41.89,$41.65,$41.95,68.83,A-,A-,A,B,A-,A-,A,4.66,21.13%,22.17%,417.88,10.45%,2.69%
PFXF,VanEck Vectors Preferred Securities ex Financials ETF,Preferred Stock,"$523,217,898.00",6.66%,"161,965",$18.90,-0.84%,No,No,1.12%,4.13%,4.82%,16.95%,29.42%,"$8,455,235.50","$4,681,436.50","$10,235,843.00","$26,902,487.00","$317,762,183.50","$441,813,339.00",Preferred Stock/Convertible Bonds,2012-07-16,0.41%,N/A,$1.16,2018-12-27,$0.12,6.12%,0.00,0.20,106,28.04%,35%,15%,1099,$18.10,$18.98,$18.81,$19.01,65.91,B,B+,A+,N/A,B-,B+,B+,4.92,32.39%,31.07%,1041.54,24.56%,3.85%
PFFD,Global X U.S. Preferred ETF,Preferred Stock,"$202,705,173.00",5.28%,"125,277",$23.73,-0.17%,No,No,0.79%,3.08%,3.45%,N/A,N/A,"$11,675,505.00","$3,526,254.00","$12,812,056.50","$166,587,256.00","$198,842,340.50","$198,842,340.50",Preferred Stock/Convertible Bonds,2017-09-11,0.23%,N/A,$1.40,2018-12-28,$0.12,5.90%,0.00,0.06,241,18.24%,39%,20%,1099,$22.94,$23.80,$23.61,$23.90,71.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.35,14.08%,15.02%,279.15,6.76%,2.01%
SPFF,Global X SuperIncome Preferred ETF,Preferred Stock,"$181,785,686.00",4.17%,"81,237",$11.49,-0.43%,No,No,0.17%,2.41%,2.08%,9.15%,9.81%,"$2,852,572.50","$1,718,410.50","$3,408,928.50","-$21,412,793.00","$5,579,321.50","$169,793,321.50",Preferred Stock/Convertible Bonds,2012-07-16,0.58%,Interactive Brokers,$0.84,2018-12-28,$0.08,7.31%,0.00,0.21,48,38.31%,35%,15%,1099,$11.18,$11.55,$11.47,$11.54,66.14,B-,C+,B,N/A,A,A+,C,4.72,23.47%,25.86%,48.68,0.00%,0.67%
IPFF,iShares International Preferred Stock ETF,Preferred Stock,"$46,099,453.00",6.29%,"22,645",$16.06,0.75%,No,No,1.01%,4.90%,-15.52%,23.30%,-16.26%,"-$759,825.50",$0.00,$0.00,"-$40,552,539.50","$27,509,073.00","$47,325,073.00",Preferred Stock/Convertible Bonds,2011-11-15,0.55%,N/A,$0.72,2018-12-18,$0.03,4.53%,15.70,0.84,102,24.66%,35%,15%,1099,$15.40,$16.20,$15.99,$16.10,56.34,C,B,B,B-,C,B,B-,6.94,97.65%,91.36%,384.28,13.61%,1.39%
PFFR,InfraCap REIT Preferred ETF,Preferred Stock,"$22,585,963.00",6.93%,"4,577",$23.69,-0.50%,No,No,0.74%,3.29%,0.85%,N/A,N/A,$0.00,$0.00,$0.00,"$1,232,308.00","$21,863,410.50","$21,863,410.50",Preferred Stock/Convertible Bonds,2017-02-07,0.45%,N/A,$1.07,2018-12-20,$0.34,4.49%,1470.59,0.14,86,24.51%,39%,20%,1099,$22.86,$23.75,N/A,N/A,64.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.88,12.05%,0.61%,69.37,1.34%,5.72%
EPRF,Innovator S&P High Quality Preferred ETF,Preferred Stock,"$14,765,920.00",6.85%,"3,277",$22.72,-0.35%,No,No,0.90%,3.84%,3.87%,N/A,N/A,"-$1,111,474.24",$0.00,"-$1,111,474.24","-$4,606,199.74","$14,099,479.26","$14,099,479.26",Preferred Stock/Convertible Bonds,2016-05-24,0.47%,N/A,$1.19,2019-01-30,$0.10,5.25%,0.00,0.05,105,25.23%,39%,20%,1099,$21.77,$22.82,$22.65,$22.82,71.01,N/A,N/A,A-,N/A,N/A,N/A,N/A,4.59,6.50%,20.48%,469.08,9.89%,2.41%
PFFA,Virtus InfraCap U.S. Preferred Stock ETF,Preferred Stock,"$13,097,130.00",8.93%,"10,361",$23.92,-0.08%,No,No,0.99%,5.25%,N/A,N/A,N/A,"$2,338,649.00","$1,175,255.00","$2,338,649.00","$10,735,786.50","$10,735,786.50","$10,735,786.50",Preferred Stock/Convertible Bonds,2018-05-15,1.36%,N/A,$1.33,2019-01-22,$0.19,5.60%,21.96,0.57,101,43.29%,39%,20%,1099,$22.80,$24.03,$23.82,$23.99,66.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.98,0.94%,0.88%,127.73,1.90%,0.70%
