Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
GDX,VanEck Vectors Gold Miners ETF,Equity,"$10,734,227,663.00",7.02%,"48,041,112",$22.57,-0.53%,No,No,6.56%,5.96%,-4.27%,61.43%,-0.81%,"-$526,017,491.50","-$15,313,305.00","-$526,017,491.50","$3,448,734,579.00","$3,844,184,814.50","$4,418,705,049.50",Materials,2006-05-22,0.53%,N/A,$0.10,2018-12-20,$0.10,0.47%,27.41,-0.27,47,58.29%,35%,15%,1099,$19.87,$22.43,$22.30,$22.75,66.15,B+,A+,A-,C+,C+,B+,B-,5.27,60.47%,40.94%,446.9,2.67%,0.00%
GUNR,FlexShares Morningstar Global Upstream Natural Resources Index Fund,Equity,"$5,465,895,959.00",10.11%,"907,813",$32.24,0.40%,No,No,2.81%,7.25%,-4.62%,64.01%,13.18%,"$13,857,162.00","$22,135,631.00","$47,624,209.50","$347,927,193.50","$2,905,828,264.78","$2,713,736,604.11",Commodity Producers Equities,2011-09-16,0.46%,N/A,$0.96,2018-12-21,$0.22,3.03%,16.50,0.84,117,36.89%,35%,15%,1099,$29.97,$32.12,$32.11,$32.32,63.20,A,A,A-,A-,A-,B,A,5.02,58.89%,33.87%,627.76,9.57%,3.59%
GDXJ,VanEck Vectors Junior Gold Miners ETF,Equity,"$4,568,697,419.00",8.67%,"13,262,567",$32.84,-0.36%,No,No,7.32%,4.99%,-1.88%,82.09%,-0.32%,"-$87,912,670.00","-$36,205,307.50","-$56,541,380.00","$327,485,337.50","$3,085,715,234.40","$4,190,367,439.79",Materials,2009-11-10,0.54%,N/A,$0.14,2018-12-20,$0.14,0.41%,19.40,-0.30,70,44.94%,35%,15%,1099,$28.90,$32.77,$32.44,$33.09,66.04,B,A,B+,C,C,A-,B+,4.39,11.63%,16.02%,561.33,6.91%,0.00%
XLB,Materials Select Sector SPDR ETF,Equity,"$3,942,341,014.00",5.92%,"9,803,958",$53.51,0.30%,No,No,0.73%,4.35%,-12.11%,46.24%,34.12%,"$36,167,269.50","-$32,571,774.00","$53,897,496.00","-$776,666,618.00","$1,260,474,135.76","-$1,041,637,709.92",Materials,1998-12-16,0.13%,N/A,$1.11,2018-12-21,$0.32,2.06%,14.77,1.15,26,70.58%,35%,15%,1099,$50.85,$54.04,$53.18,$53.74,55.13,A,A+,A,B+,A+,B+,B-,5.54,53.25%,50.21%,807.32,19.28%,1.27%
VAW,Vanguard Materials ETF,Equity,"$1,867,675,657.00",7.89%,"233,163",$119.57,0.38%,No,No,1.36%,5.98%,-13.01%,48.77%,33.06%,"-$243,036,750.00","-$61,500.00","-$231,937,750.00","-$222,991,467.36","$616,903,877.41","$753,933,109.05",Materials,2004-01-30,0.10%,Vanguard,$2.25,2018-12-13,$0.63,1.87%,15.20,1.21,117,53.56%,35%,15%,1099,$112.00,$120.40,$118.96,$119.97,57.44,A+,A-,A+,A-,A,A-,A,5.09,28.57%,35.49%,773.75,17.10%,1.69%
NUGT,Direxion Daily Gold Miners Bull 3X Shares,Equity,"$1,367,312,700.00",19.89%,"9,733,933",$20.98,-1.69%,No,3x,20.37%,17.01%,-34.67%,2.66%,-92.79%,"-$116,665,253.50","-$90,331,559.50","-$89,166,938.50","$645,778,853.50","-$696,955,498.65","$722,995,082.94",Leveraged Equities,2010-12-08,1.20%,N/A,$0.10,2018-12-27,$0.04,0.47%,26.62,-0.83,2,100.00%,35%,15%,1099,$14.37,$20.59,$20.21,$21.47,65.24,C+,A,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GNR,SPDR S&P Global Natural Resources ETF,Equity,"$1,257,601,001.00",9.80%,"278,956",$45.28,0.29%,No,No,2.56%,7.04%,-9.80%,63.49%,10.37%,"-$84,318,687.50","-$11,105,891.00","-$67,832,924.50","-$44,565,904.00","$502,558,628.50","$797,401,081.00",Commodity Producers Equities,2010-09-13,0.40%,Charles Schwab,$1.45,2018-12-21,$0.84,3.24%,10.89,0.98,89,36.89%,35%,15%,1099,$42.15,$45.19,$45.09,$45.43,61.31,A,A-,A,B+,B+,B-,A-,5.23,67.94%,39.75%,692.24,6.98%,1.73%
ITB,iShares U.S. Home Construction ETF,Equity,"$1,062,765,548.00",13.58%,"3,005,198",$34.12,-0.38%,No,No,4.53%,9.01%,-19.74%,42.08%,40.26%,"$154,461,975.50","$66,528,154.00","$98,564,097.00","-$739,564,020.50","-$1,159,238,795.00","-$1,263,608,480.00",Building & Construction ,2006-05-01,0.43%,N/A,$0.19,2018-12-17,$0.06,0.57%,12.79,1.14,49,61.09%,35%,15%,1099,$31.35,$34.14,$33.87,$34.52,63.52,A-,A,A-,A-,B+,A-,A-,3.93,4.82%,7.35%,83.99,0.00%,3.61%
JNUG,Direxion Daily Junior Gold Miners Index Bull 3x Shares,Equity,"$795,492,144.00",24.86%,"9,991,785",$11.50,-1.03%,No,3x,23.26%,13.64%,-29.93%,-1.69%,-97.23%,"-$109,708,562.50","-$62,475,590.00","-$49,823,275.00","$251,890,715.50","$834,188,078.43","$1,480,453,452.07",Leveraged Equities,2013-10-03,1.18%,N/A,$0.00,2018-12-27,$0.01,0.04%,16.94,-0.88,2,100.00%,35%,15%,1099,$7.89,$11.41,$11.08,$11.76,66.08,B-,A-,B,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IGE,iShares North American Natural Resources ETF,Equity,"$780,315,355.00",13.65%,"401,218",$30.89,0.75%,No,No,2.35%,8.65%,-13.27%,22.75%,-16.96%,"-$62,211,014.00","-$25,582,959.50","-$55,411,696.50","-$116,370,698.00","-$358,823,987.50","-$613,750,987.50",Energy Equities,2001-10-26,0.47%,N/A,$0.73,2018-12-17,$0.24,2.38%,21.20,1.08,129,42.87%,35%,15%,1099,$28.57,$30.96,$30.70,$31.07,58.92,A,A,A-,A,B+,B-,A-,4.57,45.64%,19.71%,628.63,2.66%,0.41%
MOO,VanEck Vectors Agribusiness ETF,Equity,"$765,369,115.00",8.26%,"123,453",$61.62,-0.02%,No,No,0.60%,6.24%,-2.63%,47.83%,35.96%,"-$49,526,059.00",$0.00,"-$49,526,059.00","-$112,800,221.00","-$291,080,390.00","-$3,592,187,970.00",Large Cap Blend Equities,2007-08-31,0.54%,N/A,$0.96,2018-12-20,$0.96,1.56%,18.61,0.87,58,52.38%,35%,15%,1099,$58.23,$62.28,$61.45,$61.80,58.67,A,A,B+,A,A,B+,B+,5.65,45.78%,53.81%,380.88,2.16%,7.73%
NANR,SPDR S&P North American Natural Resources ETF,Equity,"$677,195,892.00",9.92%,"27,944",$31.85,0.38%,No,No,3.54%,7.36%,-11.62%,40.48%,N/A,"$4,548,656.00",$0.00,"$4,548,656.00","-$326,133,416.50","-$231,905,999.00","$457,124,182.00",Commodity Producers Equities,2015-12-15,0.35%,N/A,$0.56,2018-12-21,$0.36,1.80%,15.69,0.74,50,57.36%,39%,20%,1099,$29.43,$31.61,$31.76,$31.93,61.44,N/A,N/A,A,N/A,N/A,N/A,N/A,5.01,58.54%,33.67%,697.1,0.23%,0.15%
XHB,SPDR S&P Homebuilders ETF,Equity,"$644,373,457.00",12.52%,"4,510,648",$36.59,-0.25%,No,No,3.89%,8.70%,-16.79%,22.98%,20.14%,"$28,992,699.00","-$21,633,409.00","$19,553,660.00","-$248,013,931.00","-$1,095,044,890.66","-$1,532,594,527.40",Building & Construction ,2006-02-06,0.35%,N/A,$0.41,2018-12-21,$0.14,1.13%,11.29,1.19,36,46.04%,35%,15%,1099,$33.73,$36.50,$36.40,$36.88,63.04,A+,A+,A+,A+,A-,A+,A,5.39,30.12%,44.75%,101.14,0.00%,6.58%
LIT,Global X Lithium ETF,Equity,"$620,058,947.00",6.93%,"198,252",$28.85,1.37%,No,No,2.30%,5.83%,-19.82%,72.86%,27.76%,"-$21,104,434.00",$0.00,"-$18,392,771.00","-$282,065,714.00","$718,254,305.50","$723,465,757.62",Global Equities,2010-07-22,0.75%,2 Platforms,$0.68,2018-12-28,$0.68,2.39%,20.28,1.24,40,77.56%,35%,15%,1099,$27.39,$28.76,$28.62,$29.00,54.85,B-,B,C+,B,B+,A,C,5.09,29.87%,35.54%,248.85,0.00%,21.18%
XME,SPDR S&P Metals & Mining ETF,Equity,"$561,519,782.00",16.49%,"2,654,032",$30.51,-0.65%,No,No,3.63%,10.78%,-16.27%,128.83%,-16.96%,"$41,933,599.00","$15,177,655.00","$51,260,911.50","-$69,680,828.50","-$13,941,095.00","-$131,726,278.00",Materials,2006-06-19,0.35%,N/A,$0.59,2018-12-21,$0.09,1.93%,7.58,1.30,30,46.43%,35%,15%,1099,$26.89,$30.52,N/A,N/A,60.75,A,A,A+,B+,B,B,B,4.13,6.49%,10.47%,993.07,0.00%,4.07%
IYM,iShares U.S. Basic Materials ETF,Equity,"$430,015,600.00",6.65%,"87,661",$89.54,0.64%,No,No,0.87%,4.80%,-13.26%,48.21%,25.34%,"-$4,276,167.50",$0.00,"-$4,276,167.50","-$479,831,697.50","$1,290,797.50","-$496,620,202.50",Materials,2000-06-20,0.43%,N/A,$1.41,2018-12-17,$0.30,1.56%,22.31,1.20,49,67.86%,35%,15%,1099,$84.69,$90.34,$88.91,$89.89,55.23,A-,A,B,B+,A-,B,B+,5.35,41.56%,43.42%,898.64,22.95%,1.78%
SIL,Global X Silver Miners ETF,Equity,"$369,137,286.00",7.43%,"122,713",$26.88,-0.96%,No,No,5.45%,3.38%,-15.70%,56.29%,-21.72%,"-$7,750,579.00",$0.00,"-$7,750,579.00","$32,623,042.00","$245,240,972.32","$282,846,895.49",Materials,2010-04-19,0.65%,2 Platforms,$0.30,2018-12-28,$0.30,1.12%,29.23,0.13,21,78.12%,35%,15%,1099,$24.17,$27.21,$26.70,$27.02,63.87,B-,A-,B-,B-,C+,B+,B,3.57,2.33%,3.46%,478.62,0.00%,0.03%
WOOD,iShares Global Timber & Forestry ETF,Equity,"$322,071,682.00",16.09%,"29,255",$66.32,0.61%,No,No,1.11%,12.31%,-11.85%,64.17%,41.08%,"-$4,343,121.00","-$3,927,322.80","-$7,779,379.80","-$31,444,936.20","$41,893,409.40","-$54,440,790.60",Materials,2008-06-24,0.47%,N/A,$1.61,2018-12-18,$0.81,2.44%,13.45,1.10,26,62.60%,35%,15%,1099,$58.46,$67.39,$65.88,$66.56,64.57,A-,B,A-,A,A+,C,B,5.5,48.05%,48.78%,373.65,0.00%,1.02%
PICK,iShares MSCI Global Select Metals & Mining Producers ETF,Equity,"$297,697,357.00",10.64%,"201,476",$29.85,-0.43%,No,No,3.22%,8.62%,-15.77%,120.19%,-1.15%,"-$22,838,808.00",$0.00,"-$22,838,808.00","-$145,843,351.50","$142,689,753.00","$162,502,753.00",Materials,2012-01-31,0.39%,Fidelity,$1.29,2018-12-18,$0.80,4.29%,10.83,1.18,194,45.74%,35%,15%,1099,$27.25,$29.82,N/A,N/A,61.25,A-,A-,A,B,B,B-,A,4.65,14.29%,21.94%,897.52,28.70%,0.98%
URA,Global X Uranium ETF,Equity,"$266,562,786.00",8.05%,"272,419",$12.61,-0.71%,No,No,-0.39%,5.26%,-10.11%,8.74%,-53.29%,"-$20,035,478.50",$0.00,"-$14,165,923.50","-$67,779,234.50","$220,712,451.00","$351,905,670.28",Global Equities,2010-11-04,0.69%,2 Platforms,$0.05,2018-12-28,$0.05,0.41%,22.04,1.19,31,64.31%,35%,15%,1099,$11.94,$12.78,$12.38,$12.78,56.05,C+,A-,B-,B-,B,C+,C,5.16,33.77%,37.59%,293.9,54.44%,2.15%
MXI,iShares Global Materials ETF,Equity,"$220,159,674.00",8.12%,"28,023",$62.03,0.32%,No,No,1.91%,6.38%,-13.53%,61.08%,16.63%,"-$3,318,063.00","-$12,105,696.00","-$3,318,063.00","-$130,202,447.00","-$19,276,502.00","-$163,786,002.00",Materials,2006-09-21,0.47%,N/A,$1.59,2018-12-18,$0.73,2.56%,15.40,1.01,108,34.78%,35%,15%,1099,$57.91,$62.17,N/A,N/A,60.62,B,A-,B,B,B+,B-,A,5.95,77.92%,64.30%,782.2,22.18%,2.53%
RING,iShares MSCI Global Gold Miners ETF,Equity,"$202,683,748.00",8.26%,"169,889",$17.56,-0.68%,No,No,5.85%,6.42%,-8.23%,50.95%,-8.17%,"$12,151,730.00","$2,576,766.00","$12,151,730.00","-$98,214,741.50","$204,829,883.50","$238,043,418.50",Materials,2012-01-31,0.39%,Fidelity,$0.11,2018-12-18,$0.04,0.64%,17.55,-0.30,42,67.59%,35%,15%,1099,$15.40,$17.50,$17.37,$17.70,65.07,B,A-,A,C,C+,B-,B+,4.91,29.07%,30.97%,538.6,4.26%,0.00%
