Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VOX,Vanguard Communication Services ETF,Equity,"$1,337,823,381.00",10.42%,"332,268",$81.79,-0.12%,No,No,2.52%,6.08%,-9.87%,5.36%,17.23%,"-$21,777,250.00","$1,973,250.00","$7,949,500.00","$417,304,354.25","$449,424,119.34","$849,164,934.86",Large Cap Growth Equities,2004-09-23,0.10%,Vanguard,$2.05,2018-12-13,$0.25,2.51%,14.30,0.67,102,69.45%,35%,15%,1099,$76.87,$81.59,$81.52,$82.21,59.58,A+,A,A+,A-,A,A,B-,4.42,16.28%,16.71%,30.58,0.00%,1.13%
ERUS,iShares MSCI Russia ETF,Equity,"$587,840,601.00",13.44%,"336,276",$34.94,-0.88%,No,No,1.90%,7.41%,-3.30%,75.88%,10.18%,"$4,929,811.50",$0.00,"$4,929,811.50","-$186,547,872.00","$201,609,464.50","$241,837,573.50",Emerging Markets Equities,2010-11-09,0.59%,N/A,$1.44,2018-12-18,$1.38,4.17%,7.81,0.85,27,68.62%,35%,15%,1099,$32.05,$35.32,$34.84,$35.08,63.77,B+,A-,B,A+,C,A-,C,3.25,0.70%,1.86%,841.85,0.00%,1.38%
IYZ,iShares U.S. Telecommunications ETF,Equity,"$457,154,257.00",6.49%,"783,181",$28.06,0.07%,No,No,0.00%,4.16%,-3.03%,9.10%,9.57%,"-$5,426,462.00","$5,538,561.50","$5,229,892.50","$134,749,013.50","$4,681,025.00","$5,231,377.50",Communications Equities,2000-05-22,0.43%,N/A,$0.57,2018-09-26,$0.17,2.05%,20.75,0.72,44,66.37%,35%,15%,1099,$27.14,$28.29,$27.98,$28.17,54.68,B+,A+,B,B+,A-,B,C,4.89,23.26%,30.23%,40.06,1.94%,2.49%
FCOM,Fidelity MSCI Communication Services Index ETF,Equity,"$295,774,948.00",9.97%,"162,040",$31.33,-0.10%,No,No,2.52%,5.84%,1.99%,24.93%,42.27%,"$91,775,823.50","$4,570,240.00","$83,176,010.50","$147,370,425.00","$169,506,378.00","$231,346,213.00",Large Cap Growth Equities,2013-10-21,0.08%,Fidelity,$0.79,2018-12-21,$0.12,2.62%,8.35,0.63,103,69.53%,35%,15%,1099,$29.48,$31.23,$31.24,$31.49,59.95,N/A,N/A,A,N/A,N/A,N/A,N/A,4.2,6.98%,11.64%,57.43,0.00%,0.43%
IXP,iShares Global Telecom ETF,Equity,"$234,821,877.00",8.69%,"59,997",$54.54,-0.35%,No,No,1.79%,5.03%,-8.47%,3.89%,9.15%,"-$5,923,923.50","-$18,506,358.50","-$18,506,358.50","-$154,506,250.00","-$103,872,853.00","-$246,301,353.00",Large Cap Growth Equities,2001-11-12,0.47%,N/A,$2.17,2018-12-18,$0.87,4.06%,21.07,0.66,80,64.72%,35%,15%,1099,$51.85,$54.51,N/A,N/A,59.65,A-,A-,B+,B-,A+,B+,B,5.29,30.23%,41.54%,29.23,2.43%,1.90%
XTL,SPDR S&P Telecom ETF,Equity,"$92,980,253.00",9.78%,"23,865",$68.90,0.67%,No,No,1.52%,6.43%,-0.08%,43.89%,33.00%,"-$13,618,318.00","-$6,740,516.50","-$13,618,318.00","-$12,295,733.00","$74,650,696.00","$87,269,998.50",Communications Equities,2011-01-26,0.35%,N/A,$1.19,2018-12-24,$0.18,1.77%,18.85,0.96,47,28.52%,35%,15%,1099,$65.27,$68.93,$68.57,$69.17,56.65,A,C+,A,A,B+,A-,B+,4.36,13.95%,15.36%,33.36,3.56%,1.85%
WBIF,WBI Bull|Bear Value 1000 ETF,Equity,"$37,394,190.00",1.17%,"6,797",$27.69,0.25%,No,No,0.33%,1.24%,-6.42%,29.11%,N/A,$0.00,$0.00,$0.00,"-$44,158,915.00","-$87,007,265.00","$30,774,015.00",Large Cap Blend Equities,2014-08-25,1.05%,N/A,$0.28,2018-12-28,$0.08,1.03%,-9899.00,0.34,20,64.25%,35%,15%,1099,$27.28,$27.71,$27.64,$27.75,49.23,C,B,C,N/A,C+,C,N/A,5.4,57.21%,44.91%,127.11,13.28%,3.44%
FONE,First Trust NASDAQ CEA Smartphone Index Fund,Equity,"$13,848,885.00",7.87%,"1,504",$46.08,-0.04%,No,No,0.52%,7.61%,-13.23%,45.29%,48.58%,$0.00,$0.00,$0.00,"$174,071.50","$593,934.50","$593,934.50",Technology Equities,2011-02-17,0.70%,N/A,$0.54,2018-12-18,$0.06,1.17%,14.78,0.99,55,33.45%,35%,15%,1099,$42.34,$46.47,N/A,N/A,59.93,B,B,C+,A+,B-,C,A,5.71,39.53%,56.20%,55.07,2.65%,4.77%
TAWK,Direxion Daily Communication Services Index Bull 3X Shares,Equity,"$2,802,442.00",N/A,N/A,$27.96,-1.31%,No,3x,8.41%,N/A,N/A,N/A,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Leveraged Equities,2019-01-14,1.10%,N/A,$0.00,N/A,N/A,0.00%,N/A,0.00,27,73.18%,39%,20%,1099,N/A,N/A,$27.74,$28.37,"",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LTL,Ultra Telecommunications ProShares,Equity,"$925,246.00",13.74%,521,$36.83,0.55%,No,2x,-1.17%,8.29%,-17.99%,2.93%,-8.52%,$0.00,$0.00,$0.00,"-$2,177,639.00","$8,232,923.75","$6,488,173.75",Leveraged Equities,2008-03-25,0.95%,N/A,$0.65,2018-12-26,$0.56,1.80%,14.88,1.27,44,65.81%,35%,15%,1099,$34.93,$37.62,$36.64,$36.92,53.44,B+,C,B,B,B+,N/A,N/A,4.89,0.00%,30.23%,40.06,1.74%,2.25%
