Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLI,Industrial Select Sector SPDR Fund,Equity,"$10,289,227,842.00",11.60%,"16,520,936",$71.88,0.15%,No,No,2.58%,10.33%,-7.96%,52.74%,58.87%,"-$1,064,555,664.50","$169,068,132.50","-$371,279,640.50","-$3,371,621,835.00","$1,580,405,586.50","-$1,834,749,936.50",Industrials Equities,1998-12-16,0.13%,N/A,$1.39,2018-12-21,$0.39,1.94%,15.60,1.13,70,46.60%,35%,15%,1099,$64.81,$72.36,$71.57,$72.30,61.48,A,A+,A,B,A-,A,B,6.01,67.47%,66.45%,196.18,33.95%,2.44%
ITA,iShares U.S. Aerospace & Defense ETF,Equity,"$5,023,957,265.00",12.69%,"345,110",$194.80,0.15%,No,No,3.28%,12.06%,-3.78%,83.72%,95.41%,"-$2,850,678.00","$38,081,856.50","$48,420,670.00","-$492,190,988.00","$3,028,020,676.00","$3,353,908,388.50",Industrials Equities,2006-05-05,0.43%,N/A,$1.95,2018-12-17,$0.23,1.00%,25.01,1.05,36,58.97%,35%,15%,1099,$172.09,$196.62,$193.91,$195.92,62.31,B,B+,B+,A,A,B-,C+,5.28,22.89%,41.24%,105.16,74.66%,0.22%
VIS,Vanguard Industrial ETF,Equity,"$3,091,624,757.00",11.59%,"233,144",$134.36,0.22%,No,No,2.51%,10.16%,-8.24%,49.96%,53.10%,"-$248,736,250.00","$6,497,500.00","-$236,508,500.00","-$428,200,371.29","$414,573,599.56","$782,472,754.56",Industrials Equities,2004-09-23,0.10%,Vanguard,$2.29,2018-12-13,$0.65,1.71%,16.90,1.15,352,36.16%,35%,15%,1099,$121.50,$135.29,$133.77,$135.08,61.25,A+,A,A,A-,A-,A,A+,5.73,50.60%,56.97%,187.36,28.45%,3.05%
IEV,iShares Europe ETF,Equity,"$2,003,105,246.00",6.52%,"890,771",$41.67,0.12%,No,No,0.90%,4.72%,-14.02%,19.60%,6.32%,"-$10,030,908.00",$0.00,"-$10,030,908.00","-$623,924,751.00","-$775,097,825.00","-$314,818,325.00",Europe Equities,2000-07-25,0.60%,Fidelity,$1.34,2018-12-18,$0.29,3.24%,13.71,0.84,426,19.52%,35%,15%,1099,$39.62,$41.87,$41.53,$41.82,59.61,A-,A-,C+,B,A-,B+,A,7.08,60.95%,93.75%,145.13,13.64%,5.83%
XAR,SPDR S&P Aerospace & Defense ETF,Equity,"$1,239,160,275.00",13.41%,"201,277",$89.50,-0.01%,No,No,3.38%,12.61%,1.96%,90.05%,90.70%,"-$41,170,150.00","$4,452,756.50","-$33,360,972.00","$104,769,488.50","$835,412,030.00","$959,236,210.50",Industrials Equities,2011-09-28,0.35%,N/A,$0.94,2018-12-24,$0.14,1.05%,18.59,1.08,33,40.22%,35%,15%,1099,$78.59,$90.18,$89.11,$89.94,62.85,B+,B-,A-,A+,B+,A-,C+,5.45,32.53%,47.09%,151.01,63.96%,0.29%
IYJ,iShares U.S. Industrials ETF,Equity,"$888,195,950.00",11.37%,"129,679",$143.15,0.30%,No,No,1.97%,10.23%,-6.61%,54.04%,58.60%,"-$47,009,220.00","-$14,072,988.50","-$40,581,298.50","-$297,421,869.50","$36,071,669.50","-$1,096,110,418.00",Industrials Equities,2000-07-14,0.43%,N/A,$1.84,2018-12-17,$0.46,1.29%,22.68,1.14,220,32.90%,35%,15%,1099,$129.38,$144.39,$142.62,$143.82,61.59,A-,A,B+,B+,A-,C+,A,5.91,56.63%,63.07%,138.13,24.26%,2.71%
PPA,Invesco Aerospace & Defense ETF,Equity,"$848,434,512.00",12.52%,"89,203",$55.64,0.25%,No,No,3.27%,11.73%,-3.92%,72.75%,89.41%,"-$20,046,171.00",$0.00,"-$15,096,372.00","-$62,320,057.50","$308,366,103.50","$493,659,165.00",Industrials Equities,2005-10-26,0.60%,N/A,$0.44,2018-12-24,$0.13,0.80%,22.53,1.06,51,57.02%,35%,15%,1099,$49.06,$56.08,$55.42,$55.95,63.17,B+,A-,B-,A,A,B,B-,5.61,39.76%,52.61%,35.81,79.67%,0.49%
PHO,Invesco Water Resources ETF,Equity,"$816,225,300.00",10.60%,"43,606",$31.20,-0.13%,No,No,1.79%,10.17%,-0.02%,55.42%,25.86%,"-$7,278,713.50",$0.00,"-$7,278,713.50","-$41,404,221.50","-$111,238,017.00","-$297,668,386.00",Water Equities ,2005-12-06,0.62%,N/A,$0.13,2018-12-24,$0.05,0.42%,23.49,1.08,36,60.44%,35%,15%,1099,$28.28,$31.47,$31.08,$31.38,63.96,A-,A+,A,A,B+,A-,B+,5.6,83.62%,52.21%,76.95,0.00%,14.22%
IYT,iShares Transportation Average ETF,Equity,"$655,608,139.00",10.34%,"241,713",$182.07,0.68%,No,No,2.07%,9.74%,-6.27%,51.99%,47.09%,"$87,348,340.50","$45,481,153.50","$62,599,140.00","-$155,328,635.50","-$180,229,794.00","-$403,733,239.00",Transportation Equities,2003-10-10,0.43%,N/A,$2.22,2018-12-17,$0.52,1.23%,16.41,1.15,21,67.97%,35%,15%,1099,$165.86,$183.79,$180.54,$183.29,57.80,A,A+,A,A,A,A,A-,5.12,18.07%,36.55%,415.91,0.00%,0.00%
CGW,Invesco S&P Global Water Index ETF,Equity,"$553,944,344.00",7.74%,"65,942",$33.55,-0.39%,No,No,1.64%,6.51%,-4.25%,33.36%,37.33%,"$3,361,920.00","$2,653,327.20","$10,729,598.40","-$56,185,616.80","$103,575,593.60","$150,144,864.80",Water Equities ,2007-05-14,0.62%,Charles Schwab,$0.67,2018-12-24,$0.67,1.98%,20.12,0.81,51,51.23%,35%,15%,1099,$31.25,$33.77,$33.42,$33.70,62.67,A+,A,A-,A-,A+,A+,A+,5.39,77.00%,44.47%,271.63,3.73%,22.05%
