Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLV,Health Care Select Sector SPDR Fund,Equity,"$19,004,762,655.00",4.90%,"12,706,035",$90.75,0.09%,No,No,2.06%,5.57%,4.59%,43.05%,74.83%,"$579,493,878.00","$407,962,425.00","$531,171,312.00","$1,560,988,196.00","$1,955,397,960.34","$4,855,443,016.19",Health & Biotech Equities,1998-12-16,0.13%,N/A,$1.36,2018-12-21,$0.38,1.52%,16.63,1.00,63,51.16%,35%,15%,1099,$85.69,$90.87,$90.27,$91.10,56.83,A,A+,A,B+,B+,A-,B+,4.65,39.71%,22.09%,20.74,0.00%,15.50%
VHT,Vanguard Healthcare ETF,Equity,"$9,040,504,513.00",6.09%,"371,945",$170.38,0.15%,No,No,2.01%,6.61%,4.75%,47.34%,76.34%,"$201,002,000.00","$16,568,750.00","$177,025,000.00","$1,223,406,834.10","$1,621,385,763.48","$4,037,293,476.36",Health & Biotech Equities,2004-01-30,0.10%,Vanguard,$2.22,2018-12-13,$0.63,1.32%,28.70,1.02,359,44.38%,35%,15%,1099,$160.16,$170.73,$169.47,$171.01,57.36,A+,A,A+,A-,B+,A,A+,4.59,36.76%,20.27%,21.56,0.03%,14.58%
IBB,iShares Nasdaq Biotechnology ETF,Equity,"$8,264,653,239.00",14.35%,"2,258,684",$110.27,0.53%,No,No,0.76%,7.53%,-3.09%,24.70%,35.69%,"-$180,763,834.00","$5,491,115.00","-$243,703,323.50","-$1,750,646,508.00","$19,352,770,890.50","$20,279,411,890.50",Health & Biotech Equities,2001-02-05,0.47%,N/A,$0.19,2018-09-26,$0.03,0.17%,19.73,1.38,222,53.57%,35%,15%,1099,$104.17,$111.54,$109.43,$110.81,58.47,B+,A,B,A,C+,C+,A,4.78,51.96%,27.59%,23.14,0.00%,32.64%
XBI,SPDR S&P Biotech ETF,Equity,"$3,986,106,906.00",17.06%,"6,225,508",$83.99,0.47%,No,No,1.97%,11.96%,-10.09%,67.42%,72.06%,"-$282,953,375.00","-$76,215,473.50","-$168,040,750.00","-$524,606,905.50","$1,177,205,313.50","$1,708,979,439.00",Health & Biotech Equities,2006-02-06,0.35%,N/A,$0.20,2018-12-21,$0.01,0.25%,17.32,1.65,120,16.90%,35%,15%,1099,$76.98,$84.85,$83.10,$84.60,57.74,B-,A,A-,B,C,C,B+,3.77,6.37%,5.27%,26.49,1.02%,7.77%
IHI,iShares U.S. Medical Devices ETF,Equity,"$2,787,096,946.00",7.29%,"225,590",$214.38,-0.48%,No,No,1.48%,9.75%,12.56%,88.63%,135.97%,"-$90,673,286.50","-$165,904,298.00","-$71,515,180.50","$1,164,634,368.00","$1,392,590,833.00","$1,441,199,971.00",Health & Biotech Equities,2006-05-05,0.43%,N/A,$0.53,2018-12-17,$0.29,0.25%,41.15,0.99,57,58.21%,35%,15%,1099,$195.14,$217.46,$213.15,$215.90,58.60,C+,B+,B+,C+,B+,B-,B-,3.67,4.90%,4.22%,23.07,0.00%,15.42%
FBT,First Trust Amex Biotechnology Index,Equity,"$2,781,265,560.00",16.34%,"207,021",$144.50,0.51%,No,No,0.89%,11.53%,1.98%,68.41%,92.30%,"$41,659,332.50","$28,163,470.00","$35,446,754.50","$1,432,668,229.00","$98,014,384.48","$1,503,351,786.15",Health & Biotech Equities,2006-06-23,0.56%,N/A,$0.00,2015-09-23,$0.02,0.00%,19.70,1.38,31,35.07%,35%,15%,1099,$132.35,$147.07,$143.55,$145.21,59.99,C,A-,C+,A,C+,C,C,4.3,19.12%,13.78%,25.73,2.41%,20.01%
IYH,iShares U.S. Healthcare ETF,Equity,"$2,467,383,090.00",5.76%,"174,885",$191.22,0.10%,No,No,2.09%,6.33%,4.78%,45.68%,74.27%,"$45,757,563.50","-$18,590,931.00","$54,796,851.50","$400,246,646.00","$91,449,488.50","-$456,852,543.50",Health & Biotech Equities,2000-06-12,0.43%,N/A,$3.53,2018-12-28,$1.43,1.87%,26.21,1.00,126,47.53%,35%,15%,1099,$179.92,$191.58,$190.25,$191.88,57.28,A-,B+,B,B+,B+,B+,A,4.58,35.29%,20.12%,21.62,0.02%,15.69%
IXJ,iShares Global Healthcare ETF,Equity,"$2,096,038,292.00",5.28%,"293,902",$59.64,0.24%,No,No,2.11%,5.02%,2.70%,31.96%,50.23%,"$308,086,258.00","$49,524,987.50","$313,696,668.00","$1,919,668,592.50","$1,728,963,803.00","$2,184,328,303.00",Health & Biotech Equities,2001-11-13,0.47%,N/A,$1.20,2018-12-28,$0.33,2.04%,24.30,0.90,104,40.16%,35%,15%,1099,$56.69,$59.60,$59.38,$59.84,57.51,A-,B+,B,B,A,B,A,5.1,74.02%,35.88%,23.45,1.33%,15.39%
FXH,First Trust Health Care AlphaDEX Fund,Equity,"$2,063,975,536.00",8.97%,"590,874",$75.05,0.44%,No,No,1.58%,9.56%,1.05%,40.10%,49.98%,"-$85,753,894.00","$7,308,575.00","-$21,114,612.00","$1,105,316,423.50","-$951,979,342.25","$317,671,556.64",Health & Biotech Equities,2007-05-08,0.63%,N/A,$0.00,2013-06-21,$0.01,0.00%,24.55,0.97,75,22.91%,35%,15%,1099,$69.16,$75.88,$74.58,$75.33,57.47,B+,A,C+,A-,A-,C+,A-,4.23,17.16%,12.44%,23.66,0.00%,8.42%
FHLC,Fidelity MSCI Health Care Index ETF,Equity,"$1,611,805,996.00",6.15%,"447,045",$43.86,0.16%,No,No,2.02%,6.66%,4.70%,47.17%,76.04%,"$51,453,628.50","$10,611,985.00","$37,569,949.00","$420,492,666.50","$713,011,826.00","$1,302,535,671.00",Health & Biotech Equities,2013-10-21,0.08%,Fidelity,$0.89,2018-12-28,$0.32,2.05%,28.87,1.01,349,44.28%,35%,15%,1099,$41.21,$43.96,$43.62,$44.02,57.40,N/A,N/A,A,N/A,N/A,N/A,N/A,4.59,37.25%,20.34%,21.61,0.03%,14.49%
IHF,iShares U.S. Healthcare Providers ETF,Equity,"$918,402,396.00",9.02%,"119,479",$180.09,-0.21%,No,No,1.42%,10.12%,12.48%,62.69%,103.38%,"$18,109,330.50","$8,974,738.50","$18,109,330.50","$248,246,313.00","-$97,708,999.00","$82,247,501.00",Health & Biotech Equities,2006-05-05,0.43%,N/A,$6.62,2018-12-28,$6.21,3.69%,21.31,0.94,46,60.54%,35%,15%,1099,$163.09,$183.01,$178.55,$180.96,57.56,B+,B+,B+,A-,B,B,B,4.66,43.14%,22.39%,14.54,0.00%,0.00%
PSCH,Invesco S&P SmallCap Health Care ETF,Equity,"$790,402,050.00",8.81%,"137,563",$117.00,-0.45%,No,No,-0.07%,7.66%,5.33%,83.23%,118.56%,"-$108,137,253.50","$5,800,047.00","-$22,059,471.00","$549,730,832.50","$509,226,779.00","$552,644,611.00",Health & Biotech Equities,2010-04-07,0.29%,N/A,$0.00,2018-09-24,$0.01,0.00%,38.47,1.25,70,33.86%,35%,15%,1099,$109.76,$119.27,N/A,N/A,52.59,B+,B-,A,B-,A-,B-,A-,4.75,49.02%,26.57%,24.52,0.00%,0.52%
RYH,Invesco S&P 500® Equal Weight Health Care ETF,Equity,"$709,801,119.00",9.53%,"42,995",$194.45,0.15%,No,No,1.77%,9.17%,1.76%,40.12%,76.82%,"-$18,450,619.00",$0.00,"-$18,271,105.50","-$20,483,266.50","$76,336,032.00","$367,265,472.00",Health & Biotech Equities,2006-11-07,0.40%,Charles Schwab,$0.93,2018-12-24,$0.33,0.49%,19.56,1.03,63,18.30%,35%,15%,1099,$178.45,$196.15,N/A,N/A,60.32,B,C+,B+,B+,A,B-,B,4.85,57.84%,29.21%,21.72,0.00%,13.74%
LABU,Direxion Daily S&P Biotech Bull 3x Shares,Equity,"$606,680,344.00",52.95%,"4,505,063",$50.26,1.35%,No,3x,5.41%,35.80%,-50.13%,76.48%,N/A,"-$156,302,381.00","$2,998,118.00","-$139,850,597.50","$455,937,842.50","$134,119,616.15","$436,929,479.65",Leveraged Equities,2015-05-28,1.08%,N/A,$0.21,2018-12-27,$0.10,0.42%,19.01,5.11,120,16.77%,35%,15%,1099,$39.63,$51.52,$48.71,$51.29,55.53,N/A,A,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
XHE,SPDR S&P Health Care Equipment ETF,Equity,"$552,023,199.00",8.63%,"116,631",$76.12,-0.64%,No,No,0.77%,10.06%,9.45%,94.66%,101.23%,"$14,963,825.50","$7,479,744.50","$21,842,988.50","$339,981,464.00","$456,287,186.00","$477,760,183.00",Health & Biotech Equities,2011-01-26,0.35%,N/A,$0.06,2018-12-24,$0.04,0.09%,27.91,1.02,70,18.03%,35%,15%,1099,$69.25,$77.32,N/A,N/A,56.94,B,C,A,C,A,A-,B+,4.24,18.14%,12.62%,24.85,0.00%,8.93%
PJP,Invesco Dynamic Pharmaceuticals ETF,Equity,"$473,767,128.00",5.52%,"36,434",$65.79,0.17%,No,No,0.83%,2.88%,-2.87%,10.05%,32.02%,"-$16,369,269.50","-$3,267,453.00","-$16,369,269.50","-$143,850,503.50","-$889,838,550.50","-$687,011,624.50",Health & Biotech Equities,2005-06-23,0.57%,N/A,$0.69,2018-12-24,$0.36,1.07%,15.53,1.15,30,47.20%,35%,15%,1099,$64.03,$66.51,$65.42,$65.99,52.36,B,A-,B-,A-,B-,B+,B-,4.24,17.65%,12.58%,32.48,0.00%,17.24%
BBH,VanEck Vectors Biotech ETF,Equity,"$423,066,260.00",15.88%,"28,666",$128.30,0.41%,No,No,0.99%,9.23%,4.07%,33.91%,40.88%,"-$5,843,541.00",$0.00,"-$250,134.00","-$153,101,495.50","-$236,489,411.50","-$262,458,404.24",Health & Biotech Equities,2011-12-20,0.35%,N/A,$5.55,2018-12-20,$5.55,4.35%,25.69,1.17,25,57.29%,35%,15%,1099,$118.85,$129.73,$127.63,$128.69,64.08,B-,A-,A,A+,C,C+,C,4.63,38.73%,21.53%,21.46,0.00%,31.89%
IHE,iShares U.S. Pharmaceuticals ETF,Equity,"$391,810,694.00",5.06%,"21,445",$147.89,0.38%,No,No,2.13%,3.87%,-5.38%,7.90%,29.42%,"$14,085,974.00",$0.00,$0.00,"-$2,222,796.00","-$353,353,174.00","-$291,387,159.50",Health & Biotech Equities,2006-05-05,0.43%,N/A,$1.77,2018-12-17,$0.35,1.22%,20.59,1.11,46,62.83%,35%,15%,1099,$142.23,$148.17,$147.15,$148.43,52.80,C+,B,B,C,B,A-,B-,4.72,46.57%,25.91%,35.62,0.00%,2.50%
ARKG,ARK Genomic Revolution Multi-Sector ETF,Equity,"$311,639,565.00",17.85%,"144,502",$28.26,0.14%,No,No,0.26%,9.83%,4.32%,72.18%,N/A,"$18,046,935.00",$0.00,"$18,046,935.00","$241,400,369.00","$307,366,902.50","$313,026,450.50",Small Cap Growth Equities,2014-10-31,0.75%,N/A,$0.27,2018-12-27,$0.27,0.98%,23.20,1.86,33,58.74%,35%,15%,1099,$26.30,$29.07,$28.00,$28.57,54.44,N/A,N/A,C,N/A,N/A,N/A,N/A,3.95,0.00%,7.57%,28.83,0.21%,4.50%
PBE,Invesco Dynamic Biotechnology & Genome ETF,Equity,"$283,861,854.00",11.77%,"36,123",$52.61,0.11%,No,No,0.63%,7.76%,0.44%,37.89%,28.78%,"$7,771,234.50","$2,594,976.00","$7,771,234.50","$31,109,772.00","-$73,014,303.00","-$127,604,595.00",Health & Biotech Equities,2005-06-23,0.59%,N/A,$0.00,2018-09-24,$0.00,0.00%,68.98,1.42,31,48.20%,35%,15%,1099,$49.65,$53.52,$52.25,$52.86,56.39,B-,B,C+,A,B-,A,C+,4.25,18.63%,12.74%,22.73,0.00%,13.97%
BIB,ProShares Ultra Nasdaq Biotechnology,Equity,"$262,280,863.00",29.63%,"208,711",$54.56,0.94%,No,2x,1.28%,15.11%,-14.27%,24.97%,23.93%,"-$22,874,841.00",$0.00,"-$20,754,518.00","-$117,634,081.50","-$308,097,553.00","-$15,884,053.00",Leveraged Equities,2010-04-07,0.95%,N/A,$0.00,2010-09-21,$0.09,0.00%,15.05,2.71,222,52.59%,35%,15%,1099,$48.93,$55.76,$53.78,$55.07,57.64,B,A-,B,C+,C+,N/A,N/A,4.78,0.00%,27.60%,23.14,0.00%,31.76%
