Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLU,Utilities Select Sector SPDR Fund,Equity,"$8,510,195,672.00",3.08%,"21,308,340",$54.55,-0.38%,No,No,2.31%,3.37%,12.33%,32.77%,65.61%,"-$443,157,840.50","-$378,369,865.00","-$13,309,329.00","$677,743,845.00","$259,379,524.98","$1,513,001,854.25",Utilities Equities,1998-12-16,0.13%,N/A,$1.76,2018-12-21,$0.46,3.29%,18.14,0.20,28,61.95%,35%,15%,1099,$51.98,$54.34,N/A,N/A,55.88,A,A+,A,B+,A,A,B-,6.64,68.97%,85.17%,3026.24,72.63%,5.29%
VPU,Vanguard Utilities ETF,Equity,"$3,047,549,883.00",3.36%,"247,685",$121.79,-0.34%,No,No,2.13%,3.59%,13.06%,36.24%,67.82%,"$45,432,071.44","$41,823,500.00","$68,623,750.00","$277,465,191.78","$765,994,212.24","$925,055,651.91",Utilities Equities,2004-01-30,0.10%,Vanguard,$3.81,2018-12-13,$1.02,3.11%,16.70,0.24,69,52.22%,35%,15%,1099,$115.75,$121.54,N/A,N/A,56.03,A+,A,A,A-,A-,A,A-,6.3,56.32%,76.17%,2922.35,63.49%,6.05%
IGF,iShares Global Infrastructure ETF,Equity,"$2,663,619,664.00",8.13%,"469,392",$42.58,-0.33%,No,No,1.26%,6.05%,-3.43%,30.11%,28.98%,"-$532,127.00","$12,590,304.00","-$532,127.00","$297,833,723.00","$1,553,167,517.00","$1,991,700,517.00",Large Cap Blend Equities,2007-12-10,0.47%,N/A,$1.39,2018-12-18,$0.69,3.25%,17.45,0.55,92,36.00%,35%,15%,1099,$39.90,$42.84,N/A,N/A,65.23,A-,A-,B,A-,B+,A-,A,6.55,85.04%,82.98%,1164.07,34.13%,2.87%
IDU,iShares U.S. Utilities ETF,Equity,"$727,435,748.00",3.23%,"129,679",$138.55,-0.34%,No,No,2.19%,3.57%,12.59%,33.35%,64.98%,"-$27,197,939.00",$0.00,"-$33,789,928.00","$41,542,571.00","-$55,005,953.00","$12,111,547.00",Utilities Equities,2000-06-20,0.43%,N/A,$3.76,2018-12-17,$0.80,2.76%,18.85,0.23,49,54.27%,35%,15%,1099,$131.79,$138.16,N/A,N/A,55.95,B+,A,B+,B+,A-,B-,B+,6.37,60.92%,78.15%,2955.01,65.52%,5.29%
FUTY,Fidelity MSCI Utilities Index ETF,Equity,"$541,967,261.00",3.21%,"288,155",$36.00,-0.53%,No,No,2.10%,3.57%,13.00%,35.82%,67.34%,"$28,308,240.50","$8,812,776.50","$36,861,560.50","$210,517,837.00","$309,678,720.00","$450,344,915.00",Utilities Equities,2013-10-21,0.08%,Fidelity,$1.09,2018-12-21,$0.25,3.06%,16.93,0.19,67,52.37%,35%,15%,1099,$34.24,$35.94,N/A,N/A,55.67,N/A,N/A,A+,N/A,N/A,N/A,N/A,6.28,52.87%,75.56%,2940.96,63.48%,6.06%
FXU,First Trust Utilities AlphaDEX Fund,Equity,"$398,118,537.00",3.21%,"347,973",$27.64,-0.29%,No,No,1.54%,1.62%,12.22%,32.01%,54.73%,"-$2,794,505.50","-$4,475.00","-$2,806,849.00","$146,231,726.50","$8,415,811.16","$92,406,274.40",Utilities Equities,2007-05-08,0.63%,N/A,$0.64,2018-12-18,$0.23,2.36%,11.28,0.34,35,47.67%,35%,15%,1099,$26.60,$27.62,$27.52,$27.77,54.16,B,A,C+,A,A,C,B,5.58,17.24%,51.59%,1898.48,36.87%,3.50%
RYU,Invesco S&P 500® Equal Weight Utilities ETF,Equity,"$309,046,162.00",2.49%,"81,163",$90.97,-0.45%,No,No,2.28%,2.77%,13.36%,33.27%,67.11%,"$35,427,194.00","$4,443,954.50","$35,427,194.00","$154,201,668.50","$153,164,424.50","$226,691,745.50",Utilities Equities,2006-11-07,0.40%,Charles Schwab,$2.76,2018-12-24,$0.55,3.08%,17.06,0.26,28,38.05%,35%,15%,1099,$86.71,$90.74,$90.16,$91.74,55.07,A,B+,A-,A,A,A-,B,6.19,47.13%,72.83%,3142.2,61.86%,3.97%
JXI,iShares Global Utilities ETF,Equity,"$305,827,867.00",4.58%,"107,332",$51.35,-0.47%,No,No,1.68%,3.76%,9.11%,27.67%,40.02%,"$113,547,788.50","$103,662,124.50","$113,547,788.50","$156,763,067.00","$133,227,054.50","$63,036,054.50",Utilities Equities,2006-09-21,0.47%,N/A,$1.55,2018-12-18,$0.72,3.05%,15.58,0.33,66,42.02%,35%,15%,1099,$48.93,$51.33,N/A,N/A,59.91,B,A-,B,B,A-,B,B+,7.09,89.66%,93.76%,2364.65,65.96%,6.81%
GII,SPDR S&P Global Infrastructure ETF,Equity,"$298,915,372.00",8.49%,"57,392",$48.96,-0.31%,No,No,1.56%,6.07%,-3.09%,31.42%,29.90%,$0.00,$0.00,$0.00,"$106,735,680.00","$229,030,983.00","$216,092,591.00",Large Cap Blend Equities,2007-01-31,0.40%,Charles Schwab,$1.49,2018-12-21,$0.80,3.04%,17.70,0.59,75,36.04%,35%,15%,1099,$45.89,$49.22,N/A,N/A,65.65,B-,B-,A-,B,B+,C+,A-,6.55,85.25%,83.06%,1161.6,34.08%,2.87%
PUI,Invesco DWA Utilities Momentum ETF,Equity,"$196,232,994.00",4.97%,"121,603",$30.40,-0.98%,No,No,1.74%,5.70%,19.00%,40.86%,67.18%,"$37,821,591.00","$1,498,948.50","$36,408,411.00","$160,629,401.50","$156,470,266.50","$149,819,620.00",Utilities Equities,2005-10-26,0.60%,N/A,$0.54,2018-12-24,$0.08,1.81%,20.13,0.26,31,37.08%,35%,15%,1099,$28.48,$30.59,N/A,N/A,57.09,A-,B,B-,A,A+,B+,B+,5.7,21.84%,55.81%,2771.21,34.70%,4.80%
TOLZ,ProShares DJ Brookfield Global Infrastructure ETF,Equity,"$85,926,248.00",10.07%,"31,716",$41.99,0.12%,No,No,2.07%,6.90%,0.63%,32.67%,N/A,"$24,283,927.25",$0.00,"$22,372,513.00","$45,002,166.75","$49,240,574.25","$79,339,074.05",Large Cap Blend Equities,2014-03-25,0.46%,Charles Schwab,$1.39,2018-12-26,$0.32,3.33%,17.01,0.64,127,39.99%,35%,15%,1099,$39.13,$42.04,$41.82,$42.07,65.77,N/A,N/A,B,N/A,N/A,N/A,N/A,5.84,49.70%,60.94%,439.81,7.27%,2.23%
PSCU,Invesco S&P SmallCap Utilities ETF,Equity,"$60,430,867.00",6.67%,"10,606",$52.48,-0.44%,No,No,1.00%,5.47%,5.04%,32.91%,73.13%,"-$4,993,360.00",$0.00,"-$4,993,360.00","$10,042,459.00","-$7,007,930.50","$6,851,239.50",Small Cap Blend Equities,2010-04-07,0.29%,N/A,$1.16,2018-12-24,$0.35,2.19%,44.46,0.64,24,66.25%,35%,15%,1099,$49.88,$53.05,$52.28,$52.76,54.14,B,B-,A,A-,B+,A,C,4.11,2.30%,10.10%,391.03,6.39%,2.33%
WBIC,WBI Bull|Bear Yield 2000 ETF,Equity,"$56,168,279.00",0.68%,"12,029",$20.04,0.20%,No,No,0.15%,0.76%,-10.70%,1.50%,N/A,"-$996,565.00",$0.00,"-$996,565.00","$2,993,280.00","-$68,598,800.00","$81,500,765.00",Small Cap Blend Equities,2014-08-25,1.06%,N/A,$0.30,2019-01-15,$0.00,1.52%,-9899.00,0.32,20,65.89%,35%,15%,1099,$19.83,$20.08,$20.00,$20.09,43.83,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GHII,Invesco S&P High Income Infrastructure ETF,Equity,"$55,647,224.00",9.88%,"11,427",$25.80,0.08%,No,No,1.86%,5.89%,-2.41%,42.26%,N/A,"-$1,269,770.00","-$1,269,770.00","-$1,269,770.00","$24,064,560.50","$53,700,201.00","$53,704,278.00",Global Equities,2015-02-11,0.45%,N/A,$1.26,2018-12-24,$0.30,4.91%,18.96,0.66,51,37.11%,35%,15%,1099,$24.35,$25.89,$25.70,$25.87,63.68,N/A,N/A,B+,N/A,N/A,N/A,N/A,5.94,57.08%,64.01%,1762.54,8.34%,12.96%
JHMU,John Hancock Multi-Factor Utilities ETF,Equity,"$32,328,882.00",3.56%,"37,545",$29.37,-0.51%,No,No,2.23%,4.08%,13.09%,N/A,N/A,"-$12,378,491.40",$0.00,"-$8,206,581.90","$7,749,288.00","$20,142,651.50","$20,142,651.50",Utilities Equities,2016-03-28,0.40%,N/A,$0.66,2018-12-24,$0.33,2.29%,17.86,0.15,36,48.33%,39%,20%,1099,$27.85,$29.29,N/A,N/A,56.44,N/A,N/A,B-,N/A,N/A,N/A,N/A,6.29,54.02%,75.91%,2934.58,66.73%,4.20%
EMIF,iShares Emerging Markets Infrastructure ETF,Equity,"$29,902,768.00",8.51%,"5,413",$30.03,0.30%,No,No,0.42%,5.79%,-9.74%,26.07%,7.55%,$0.00,$0.00,$0.00,"-$6,752,228.00","-$20,840,932.50","-$89,832,221.50",Emerging Markets Equities,2009-06-16,0.75%,N/A,$0.73,2018-12-18,$0.37,2.43%,14.05,0.71,36,56.62%,35%,15%,1099,$28.24,$30.45,$29.97,$30.16,63.76,C+,B+,C+,B-,B,B+,B,3.56,0.21%,3.44%,1506.97,15.22%,3.80%
INXX,Columbia India Infrastructure Index Fund,Equity,"$28,074,756.00",-9.91%,"5,927",$10.73,-1.38%,No,No,-2.45%,-8.91%,-29.56%,20.14%,21.87%,"-$572,375.00",$0.00,"-$572,375.00","-$13,846,373.50","-$13,838,594.50","$20,129,755.00",Asia Pacific Equities,2010-08-11,0.76%,N/A,$0.16,2018-12-21,$0.16,1.53%,14.14,0.95,31,49.59%,35%,15%,1099,$10.56,$11.85,$10.71,$10.78,39.59,C,B+,C,C,C,B,C+,3.13,2.07%,1.31%,2723.64,7.35%,0.82%
PXR,Invesco Emerging Markets Infrastructure ETF,Equity,"$15,558,070.00",10.45%,"2,147",$34.55,-0.12%,No,No,1.78%,7.83%,-12.90%,46.61%,6.35%,$0.00,$0.00,$0.00,"-$3,111,174.00","-$7,597,426.50","-$34,936,784.00",Emerging Markets Equities,2008-10-16,0.75%,N/A,$0.00,2018-12-24,$0.01,0.01%,12.38,1.03,85,25.40%,35%,15%,1099,$31.80,$34.58,$34.42,$34.68,63.47,C+,B,C,C+,B-,C+,A+,3.34,0.13%,2.22%,1344.67,5.05%,2.72%
UTES,Reaves Utilities ETF,Equity,"$13,926,160.00",3.85%,"2,185",$34.81,-0.51%,No,No,1.81%,3.91%,13.66%,33.65%,N/A,$0.00,$0.00,$0.00,$0.00,"$4,600,885.50","$8,546,283.50",Utilities Equities,2015-09-23,0.95%,N/A,$0.70,2018-12-20,$0.23,2.04%,19.59,0.17,23,65.86%,39%,20%,1099,$33.20,$34.96,N/A,N/A,55.55,N/A,N/A,C,N/A,N/A,N/A,N/A,6.75,74.71%,88.23%,2021.85,49.32%,10.52%
UPW,ProShares Ultra Utilities,Equity,"$12,574,505.00",6.52%,"6,990",$50.24,-1.20%,No,2x,4.29%,6.88%,20.28%,60.70%,127.14%,"-$2,364,155.25",$0.00,"-$1,178,036.00","-$5,245,653.00","-$9,586,995.76","-$4,557,991.46",Leveraged Equities,2007-01-30,0.95%,N/A,$0.93,2018-12-26,$0.24,1.92%,18.18,0.47,49,54.52%,35%,15%,1099,$45.47,$50.27,N/A,N/A,54.89,A-,C+,C,A-,A-,N/A,N/A,6.37,0.00%,78.17%,2954.95,61.18%,4.94%
IFRA,iShares U.S. Infrastructure ETF,Equity,"$5,085,810.00",10.60%,"4,165",$25.41,0.00%,No,No,2.15%,7.56%,N/A,N/A,N/A,$0.00,$0.00,$0.00,"$2,498,956.00","$2,498,956.00","$2,498,956.00",All Cap Equities,2018-04-03,0.40%,N/A,$0.57,2018-12-17,$0.36,2.29%,16.80,0.82,154,8.43%,39%,20%,1099,$23.51,$25.49,N/A,N/A,62.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.82,15.66%,28.51%,1461.75,20.06%,4.85%
SDP,ProShares Ultra Short Utilities,Equity,"$4,525,292.00",-6.49%,"4,300",$21.39,1.42%,Yes,2x,-4.19%,-6.94%,-23.38%,-50.56%,-73.14%,"$542,275.50",$0.00,"$542,275.50","-$2,919,244.00","$4,553,739.00","$6,491,233.00",Leveraged Equities,2007-01-30,0.95%,N/A,$0.01,2018-12-26,$0.01,0.05%,0.00,-0.43,48,54.33%,35%,15%,1099,$21.41,$23.55,N/A,N/A,44.28,B,C+,B-,B,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UTSL,Direxion Daily Utilities Bull 3X Shares,Equity,"$4,311,521.00",8.23%,"16,076",$28.68,-1.95%,No,3x,6.78%,9.67%,23.26%,N/A,N/A,$0.00,$0.00,$0.00,"-$11,861,179.00","$1,405,166.00","$1,405,166.00",Leveraged Equities,2017-05-03,1.09%,N/A,$0.39,2018-09-25,$0.15,1.33%,17.82,0.49,28,62.39%,39%,20%,1099,$24.98,$28.47,N/A,N/A,54.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
