Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VNQ,Vanguard Real Estate Index Fund,Real Estate,"US$30,662,075,084.00 ",11.14%,"7,996,985",US$82.88 ,-0.64%,No,No,3.01%,11.52%,11.48%,23.18%,52.37%,"(US$380,947,768.55)","US$6,524,423.69 ","US$135,982,730.66 ","(US$2,711,598,859.94)","US$2,270,590,937.81 ","US$8,160,275,584.43 ",Real Estate,23/9/2004,0.12%,2 Platforms,US$3.53 ,13/12/2018,US$0.95 ,4.24%,26.5,0.59,186,35.66%,35%,15%,1099,US$74.07 ,US$83.65 ,US$81.82 ,US$83.85 ,65.72,A+,A,A,A-,B+,A-,A,4.5,80.72%,18.34%,95.82,1.01%,8.80%
VNQI,Vanguard Global ex-U.S. Real Estate Index Fund ETF,Real Estate,"US$5,606,595,321.00 ",9.02%,"492,637",US$57.14 ,-0.40%,No,No,2.04%,7.29%,-5.74%,34.20%,35.47%,"(US$82,627,075.39)",US$0.00 ,"(US$82,627,075.39)","US$105,667,606.69 ","US$2,241,115,838.71 ","US$4,325,753,435.67 ",Global Real Estate,1/11/2010,0.14%,Vanguard,US$2.42 ,24/12/2018,US$1.37 ,4.23%,8,0.69,429,21.31%,35%,15%,1099,US$52.84 ,US$57.53 ,US$57.02 ,US$57.24 ,68.87,A+,A-,A,A,B,A,A+,5.05,60.50%,34.50%,73.76,0.24%,15.02%
SCHH,Schwab US REIT ETF,Real Estate,"US$4,957,344,623.00 ",10.62%,"1,096,300",US$42.60 ,-0.61%,No,No,2.85%,11.69%,12.87%,21.75%,55.05%,"US$60,203,562.00 ","US$6,297,292.00 ","US$52,451,822.00 ","US$737,503,829.50 ","US$2,846,190,159.00 ","US$3,875,245,975.50 ",Real Estate,13/1/2011,0.07%,Charles Schwab,US$1.41 ,28/12/2018,US$0.01 ,3.31%,34.17,0.6,98,44.33%,35%,15%,1099,US$38.07 ,US$43.10 ,US$41.99 ,US$43.12 ,64.54,A,A-,A+,B+,A-,B-,A-,4.26,50.00%,12.99%,94.22,0.00%,13.06%
IYR,iShares U.S. Real Estate ETF,Real Estate,"US$3,740,729,079.00 ",10.72%,"9,580,988",US$82.97 ,-0.68%,No,No,2.89%,11.25%,11.07%,29.19%,54.18%,"(US$217,967,673.00)","US$77,189,762.50 ","(US$263,210,918.50)","US$201,751,661.00 ","(US$1,058,238,817.50)","(US$1,543,430,451.50)",Real Estate,12/6/2000,0.43%,Fidelity,US$2.65 ,17/12/2018,US$0.47 ,3.20%,32.26,0.61,115,36.09%,35%,15%,1099,US$74.32 ,US$83.75 ,US$81.95 ,US$83.89 ,65.47,A,A+,B,B-,A,B+,A,4.47,75.90%,17.77%,91.22,0.65%,9.60%
XLRE,Real Estate Select Sector SPDR Fund,Real Estate,"US$3,016,961,039.00 ",10.06%,"6,123,771",US$34.12 ,-0.61%,No,No,2.99%,11.00%,11.56%,30.54%,N/A,"US$219,868,734.00 ","US$58,852,421.50 ","US$207,186,066.00 ","US$508,028,187.50 ","US$3,045,720,609.00 ","US$3,048,866,828.00 ",Real Estate,7/10/2015,0.13%,N/A,US$1.17 ,21/12/2018,US$0.37 ,3.44%,37.8,0.71,33,56.94%,39%,20%,1099,US$30.54 ,US$34.39 ,US$33.70 ,US$34.50 ,65.28,N/A,N/A,A,N/A,N/A,N/A,C+,5.33,98.19%,42.72%,102.39,0.00%,10.57%
RWR,SPDR Dow Jones REIT ETF,Real Estate,"US$2,747,234,369.00 ",10.64%,"274,469",US$95.15 ,-0.69%,No,No,2.88%,11.69%,12.63%,21.32%,53.77%,"(US$49,432,915.50)","(US$37,618,144.50)","(US$41,052,131.50)","US$34,136,288.00 ","(US$601,027,971.52)","(US$66,289,690.72)",Real Estate,23/4/2001,0.25%,TD Ameritrade,US$3.61 ,24/12/2018,US$1.08 ,3.79%,35.78,0.6,98,44.44%,35%,15%,1099,US$85.05 ,US$96.31 ,US$93.72 ,US$96.49 ,64.18,A,A-,A,B,A-,B+,A-,4.26,50.60%,13.00%,94.35,0.00%,13.12%
RWX,SPDR DJ Wilshire International Real Estate ETF,Real Estate,"US$2,364,070,003.00 ",9.59%,"793,129",US$38.73 ,-0.13%,No,No,2.11%,7.34%,-2.06%,20.31%,22.75%,"(US$47,372,741.00)","(US$11,577,921.00)","(US$29,663,066.00)","(US$1,202,493,625.00)","(US$2,009,500,697.56)","(US$1,508,763,843.12)",Global Real Estate,15/12/2006,0.59%,TD Ameritrade,US$1.87 ,24/12/2018,US$0.91 ,4.80%,16.24,0.65,114,30.91%,35%,15%,1099,US$35.76 ,US$39.02 ,US$38.61 ,US$38.79 ,72.43,A-,A,C+,B+,A-,A-,B+,5.85,89.08%,61.22%,95.71,0.00%,19.64%
RWO,SPDR DJ Wilshire Global Real Estate ETF,Real Estate,"US$2,250,658,047.00 ",9.92%,"253,074",US$48.65 ,-0.43%,No,No,2.29%,9.70%,6.14%,20.20%,38.48%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$488,346,940.00)","US$148,141,781.00 ","US$1,088,448,600.00 ",Global Real Estate,13/5/2008,0.50%,2 Platforms,US$1.73 ,24/12/2018,US$0.48 ,3.53%,23.19,0.63,211,26.50%,35%,15%,1099,US$44.16 ,US$49.16 ,US$48.24 ,US$48.98 ,66.77,A-,A,B,C+,A+,B-,A-,4.89,45.80%,30.29%,94.95,0.00%,15.72%
ICF,iShares Cohen & Steers REIT ETF,Real Estate,"US$2,055,392,274.00 ",9.82%,"190,539",US$105.10 ,-0.72%,No,No,3.16%,11.17%,14.22%,22.08%,59.39%,"(US$39,682,397.00)","(US$15,552,051.50)","(US$30,210,250.50)","(US$383,881,748.00)","(US$1,168,705,512.50)","(US$672,978,477.00)",Real Estate,29/1/2001,0.34%,N/A,US$3.07 ,17/12/2018,US$0.68 ,2.92%,41.21,0.52,31,59.33%,35%,15%,1099,US$94.14 ,US$106.06 ,US$103.75 ,US$106.34 ,64.65,B-,A-,A-,C+,B,C+,B-,4.9,95.78%,30.69%,111.35,0.00%,14.10%
REET,iShares Global REIT ETF,Real Estate,"US$1,470,698,513.00 ",10.89%,"347,489",US$25.97 ,-0.46%,No,No,2.49%,9.86%,8.31%,23.14%,N/A,"US$35,802,476.00 ","US$8,932,409.50 ","US$17,082,568.00 ","US$561,701,892.50 ","US$1,330,295,271.00 ","US$1,430,628,771.00 ",Global Real Estate,8/7/2014,0.14%,N/A,US$1.34 ,18/12/2018,US$0.25 ,5.14%,17.49,0.6,299,25.13%,35%,15%,1099,US$23.46 ,US$26.24 ,US$25.72 ,US$26.16 ,67.03,N/A,N/A,A+,N/A,N/A,N/A,N/A,4.39,7.14%,15.92%,94.44,0.81%,13.98%
