Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
IEMG,iShares Core MSCI Emerging Markets ETF,Equity,"US$57,736,122,727.00 ",8.99%,"24,323,588",US$51.39 ,-0.56%,No,No,1.38%,7.42%,-13.05%,48.19%,26.38%,"US$4,224,239,244.00 ","US$812,919,096.00 ","US$3,829,077,876.00 ","US$16,892,968,302.00 ","US$44,039,697,624.00 ","US$51,925,923,624.00 ",Emerging Markets Equities,18/10/2012,0.14%,Fidelity,US$1.30 ,18/12/2018,US$0.86 ,2.58%,12.01,0.88,2372,21.65%,35%,15%,1099,US$47.38 ,US$51.70 ,US$51.26 ,US$51.49 ,62.62,A,A,A,B+,B+,B,A,4.31,27.56%,14.00%,341.67,3.26%,4.06%
EEM,iShares MSCI Emerging Markets ETF,Equity,"US$33,806,372,014.00 ",9.47%,"95,219,072",US$42.76 ,-0.79%,No,No,1.33%,7.73%,-13.22%,48.55%,24.39%,"US$1,865,828,497.50 ","US$998,486,185.50 ","US$1,675,182,663.00 ","(US$4,920,580,728.00)","US$7,083,732,415.50 ","(US$580,563,994.50)",Emerging Markets Equities,11/4/2003,0.67%,N/A,US$0.87 ,18/12/2018,US$0.58 ,2.08%,11.97,0.91,1088,23.82%,35%,15%,1099,US$39.29 ,US$43.07 ,US$42.65 ,US$42.86 ,62.37,A-,A+,B-,B,B,B,A,4.34,31.40%,14.72%,344.66,3.21%,4.32%
GDXJ,VanEck Vectors Junior Gold Miners ETF,Equity,"US$4,568,697,419.00 ",8.67%,"13,262,567",US$32.84 ,-0.36%,No,No,7.32%,4.99%,-1.88%,82.09%,-0.32%,"(US$87,912,670.00)","(US$36,205,307.50)","(US$56,541,380.00)","US$327,485,337.50 ","US$3,085,715,234.40 ","US$4,190,367,439.79 ",Materials,10/11/2009,0.54%,N/A,US$0.14 ,20/12/2018,US$0.14 ,0.41%,19.4,-0.3,70,44.94%,35%,15%,1099,US$28.90 ,US$32.77 ,US$32.44 ,US$33.09 ,66.04,B,A,B+,C,C,A-,B+,4.39,11.63%,16.02%,561.33,6.91%,0.00%
FNDE,Schwab Fundamental Emerging Markets Large Company Index ETF,Equity,"US$2,309,273,145.00 ",10.18%,"478,855",US$28.46 ,-0.56%,No,No,1.46%,7.56%,-9.76%,73.22%,28.05%,"US$39,931,265.00 ",US$0.00 ,"US$39,931,265.00 ","US$421,558,657.00 ","US$1,680,742,524.99 ","US$2,096,084,674.84 ",Large Cap Blend Equities,15/8/2013,0.39%,Charles Schwab,US$0.79 ,28/12/2018,US$0.02 ,2.77%,10.45,1.04,306,30.10%,35%,15%,1099,US$26.14 ,US$28.63 ,US$28.39 ,US$28.50 ,64.52,A-,A-,A,A-,B-,C+,A-,4.09,12.33%,9.70%,573.56,3.23%,2.68%
FIHD,UBS AG FI Enhanced Global High Yield ETN,Equity,"US$1,594,716,810.00 ",11.68%,"33,213",US$158.04 ,0.27%,No,2x,3.04%,8.24%,-14.09%,N/A,N/A,"US$33,780,623.50 ","US$11,374,687.50 ","US$11,374,687.50 ","US$507,875,996.50 ","US$1,409,650,921.75 ","US$1,409,650,921.75 ",Leveraged Equities,19/2/2016,0.80%,N/A,US$0.00 ,N/A,N/A,0.00%,0,1.49,N/A,N/A,39%,20%,1099,US$144.46 ,US$158.10 ,US$157.17 ,US$159.11 ,58.33,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VIGI,Vanguard International Dividend Appreciation Index Fund,Equity,"US$962,255,210.00 ",6.89%,"140,619",US$61.57 ,0.05%,No,No,1.67%,5.34%,-8.59%,N/A,N/A,"US$47,896,405.35 ","US$9,075,000.00 ","US$47,896,405.35 ","US$171,098,788.61 ","US$950,022,469.77 ","US$950,022,469.77 ",Foreign Large Cap Equities,25/2/2016,0.25%,N/A,US$1.15 ,24/12/2018,US$0.23 ,1.87%,18.3,0.69,237,27.60%,39%,20%,1099,US$58.14 ,US$61.68 ,US$61.42 ,US$61.70 ,62.5,N/A,N/A,A,N/A,N/A,N/A,N/A,6.35,48.45%,77.37%,143.19,11.91%,5.65%
IQDF,FlexShares International Quality Dividend Index Fund,Equity,"US$729,637,012.00 ",9.08%,"301,437",US$22.95 ,-0.22%,No,No,1.64%,7.04%,-13.79%,26.96%,9.99%,"(US$27,911,620.00)","US$20,381,949.00 ","US$20,381,949.00 ","(US$219,353,938.00)","US$360,229,264.76 ","US$682,200,219.66 ",Foreign Large Cap Equities,12/4/2013,0.47%,N/A,US$1.28 ,21/12/2018,US$0.28 ,5.66%,15.61,0.84,176,17.02%,35%,15%,1099,US$21.23 ,US$23.08 ,US$22.89 ,US$23.01 ,64.18,A-,A-,B,N/A,B,A,B,5.8,13.34%,59.45%,238,7.55%,3.65%
LIT,Global X Lithium ETF,Equity,"US$620,058,947.00 ",6.93%,"198,252",US$28.85 ,1.37%,No,No,2.30%,5.83%,-19.82%,72.86%,27.76%,"(US$21,104,434.00)",US$0.00 ,"(US$18,392,771.00)","(US$282,065,714.00)","US$718,254,305.50 ","US$723,465,757.62 ",Global Equities,22/7/2010,0.75%,2 Platforms,US$0.68 ,28/12/2018,US$0.68 ,2.39%,20.28,1.24,40,77.56%,35%,15%,1099,US$27.39 ,US$28.76 ,US$28.62 ,US$29.00 ,54.85,B-,B,C+,B,B+,A,C,5.09,29.87%,35.54%,248.85,0.00%,21.18%
VIDI,Vident International Equity Fund,Equity,"US$590,506,860.00 ",10.04%,"80,610",US$24.76 ,-0.32%,No,No,0.45%,7.56%,-14.55%,36.86%,19.72%,"US$14,896,360.00 ","US$7,316,070.00 ","US$19,380,900.00 ","(US$5,890,220.00)","(US$47,977,280.00)","(US$27,665,720.00)",Foreign Large Cap Equities,30/10/2013,0.61%,N/A,US$0.63 ,19/12/2018,US$0.25 ,2.57%,9.82,0.77,245,5.56%,35%,15%,1099,US$22.97 ,US$25.13 ,US$24.69 ,US$24.85 ,63.81,B-,A,C+,N/A,C+,B-,B+,5.33,5.05%,42.87%,340.09,6.07%,5.14%
IFV,First Trust Dorsey Wright International Focus 5 ETF,Equity,"US$564,976,878.00 ",12.11%,"311,263",US$19.53 ,-0.05%,No,No,1.61%,8.56%,-16.37%,25.20%,N/A,"US$21,855,458.50 ","US$16,438,877.00 ","US$32,352,142.50 ","(US$236,161,450.50)","(US$12,318,523.71)","US$686,274,740.02 ",Global Equities,22/7/2014,1.06%,N/A,US$0.32 ,18/12/2018,US$0.08 ,1.66%,10.6,0.87,6,100.00%,35%,15%,1099,US$17.92 ,US$19.67 ,US$19.40 ,US$19.64 ,66.52,C+,A,C,N/A,N/A,C+,C,N/A,N/A,N/A,N/A,N/A,N/A
TLTE,FlexShares Morningstar Emerging Market Factor Tilt Index ETF,Equity,"US$519,263,629.00 ",10.25%,"56,931",US$52.90 ,-0.30%,No,No,1.71%,8.74%,-15.13%,46.23%,23.75%,"US$10,294,656.00 ","US$10,294,656.00 ","US$10,294,656.00 ","(US$60,498,024.00)","US$233,765,423.00 ","US$288,722,533.00 ",Large Cap Blend Equities,25/9/2012,0.59%,N/A,US$1.45 ,21/12/2018,US$0.23 ,2.80%,15.36,0.88,1070,26.02%,35%,15%,1099,US$48.18 ,US$53.18 ,US$52.74 ,US$52.98 ,65.27,A-,B+,B-,B+,A,B-,A,4.18,16.98%,11.36%,445.75,3.36%,3.20%
