Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VWO,Vanguard FTSE Emerging Markets ETF,Equity,"US$60,569,126,307.00 ",8.85%,"22,156,650",US$41.47 ,-0.74%,No,No,1.15%,6.72%,-13.73%,45.17%,25.74%,"US$471,470,074.95 ","US$389,769,020.64 ","US$471,421,893.52 ","(US$613,916,653.62)","US$17,009,859,401.50 ","US$16,970,243,615.10 ",Emerging Markets Equities,10/3/2005,0.14%,3 Platforms,US$1.10 ,24/12/2018,US$0.26 ,2.68%,12,0.9,1565,20.53%,35%,15%,1099,US$38.56 ,US$41.73 ,US$41.38 ,US$41.57 ,61.8,A,A,A,B+,B,B+,A+,4.31,28.37%,14.14%,389.41,2.87%,4.00%
IEMG,iShares Core MSCI Emerging Markets ETF,Equity,"US$57,736,122,727.00 ",8.99%,"24,323,588",US$51.39 ,-0.56%,No,No,1.38%,7.42%,-13.05%,48.19%,26.38%,"US$4,224,239,244.00 ","US$812,919,096.00 ","US$3,829,077,876.00 ","US$16,892,968,302.00 ","US$44,039,697,624.00 ","US$51,925,923,624.00 ",Emerging Markets Equities,18/10/2012,0.14%,Fidelity,US$1.30 ,18/12/2018,US$0.86 ,2.58%,12.01,0.88,2372,21.65%,35%,15%,1099,US$47.38 ,US$51.70 ,US$51.26 ,US$51.49 ,62.62,A,A,A,B+,B+,B,A,4.31,27.56%,14.00%,341.67,3.26%,4.06%
EEM,iShares MSCI Emerging Markets ETF,Equity,"US$33,806,372,014.00 ",9.47%,"95,219,072",US$42.76 ,-0.79%,No,No,1.33%,7.73%,-13.22%,48.55%,24.39%,"US$1,865,828,497.50 ","US$998,486,185.50 ","US$1,675,182,663.00 ","(US$4,920,580,728.00)","US$7,083,732,415.50 ","(US$580,563,994.50)",Emerging Markets Equities,11/4/2003,0.67%,N/A,US$0.87 ,18/12/2018,US$0.58 ,2.08%,11.97,0.91,1088,23.82%,35%,15%,1099,US$39.29 ,US$43.07 ,US$42.65 ,US$42.86 ,62.37,A-,A+,B-,B,B,B,A,4.34,31.40%,14.72%,344.66,3.21%,4.32%
SCHE,Schwab Emerging Markets Equity ETF,Equity,"US$5,289,494,578.00 ",9.05%,"2,089,142",US$25.66 ,-0.43%,No,No,1.42%,6.96%,-12.61%,49.56%,29.89%,"US$156,888,688.00 ",US$0.00 ,"US$73,039,640.00 ","US$836,506,569.00 ","US$3,281,495,822.00 ","US$4,192,750,665.00 ",Emerging Markets Equities,14/1/2010,0.13%,Charles Schwab,US$0.63 ,28/12/2018,US$0.01 ,2.48%,13.45,0.9,882,28.43%,35%,15%,1099,US$23.79 ,US$25.76 ,US$25.58 ,US$25.71 ,62.94,A,A,A+,B+,B+,B,A,4.39,38.95%,15.86%,394.88,2.83%,4.26%
FNDE,Schwab Fundamental Emerging Markets Large Company Index ETF,Equity,"US$2,309,273,145.00 ",10.18%,"478,855",US$28.46 ,-0.56%,No,No,1.46%,7.56%,-9.76%,73.22%,28.05%,"US$39,931,265.00 ",US$0.00 ,"US$39,931,265.00 ","US$421,558,657.00 ","US$1,680,742,524.99 ","US$2,096,084,674.84 ",Large Cap Blend Equities,15/8/2013,0.39%,Charles Schwab,US$0.79 ,28/12/2018,US$0.02 ,2.77%,10.45,1.04,306,30.10%,35%,15%,1099,US$26.14 ,US$28.63 ,US$28.39 ,US$28.50 ,64.52,A-,A-,A,A-,B-,C+,A-,4.09,12.33%,9.70%,573.56,3.23%,2.68%
SPEM,SPDR Portfolio Emerging Markets ETF,Equity,"US$2,260,221,490.00 ",8.90%,"1,023,716",US$35.24 ,-0.59%,No,No,1.61%,6.66%,-12.56%,51.40%,30.17%,"US$160,547,578.00 ",US$0.00 ,"US$128,498,818.00 ","US$1,013,400,861.00 ","US$1,787,300,361.00 ","US$1,787,300,361.00 ",Emerging Markets Equities,23/3/2007,0.11%,N/A,US$0.76 ,24/12/2018,US$0.43 ,2.16%,11.72,0.89,1020,20.70%,39%,20%,1099,US$32.77 ,US$35.37 ,US$35.15 ,US$35.32 ,62.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.36,36.28%,15.21%,408.03,3.32%,4.07%
DEM,WisdomTree Emerging Markets Equity Income Fund,Equity,"US$2,168,416,750.00 ",9.61%,"497,385",US$44.01 ,-0.77%,No,No,1.69%,7.42%,-6.66%,62.69%,16.86%,"US$12,502,977.00 ",US$0.00 ,"US$12,502,977.00 ","US$109,463,201.00 ","US$430,121,354.00 ","(US$1,558,700,481.00)",Emerging Markets Equities,13/7/2007,0.63%,E*TRADE,US$1.79 ,24/12/2018,US$0.23 ,4.13%,9.73,0.86,468,24.48%,35%,15%,1099,US$40.50 ,US$44.27 ,US$43.90 ,US$44.13 ,64.85,A-,A,B,B,B-,A,A-,3.88,0.39%,6.68%,556.52,1.85%,4.55%
GEM,Goldman Sachs ActiveBeta Emerging Markets Equity ETF,Equity,"US$1,729,101,303.00 ",9.40%,"183,532",US$32.95 ,-0.60%,No,No,1.57%,7.50%,-11.90%,46.84%,N/A,"US$19,294,268.00 ","US$19,294,268.00 ","US$19,294,268.00 ","US$93,523,220.00 ","US$882,528,288.00 ","US$1,455,011,726.00 ",Emerging Markets Equities,25/9/2015,0.45%,N/A,US$0.63 ,24/12/2018,US$0.14 ,1.94%,12.42,0.82,415,21.01%,39%,20%,1099,US$30.25 ,US$33.15 ,US$32.87 ,US$33.01 ,63.53,A,A-,A,N/A,A-,C,A-,4.53,51.40%,19.01%,305.27,3.61%,5.41%
DGS,WisdomTree Emerging Markets SmallCap Divdend Fund,Equity,"US$1,345,256,496.00 ",10.12%,"146,358",US$46.13 ,-0.35%,No,No,1.76%,7.98%,-13.59%,54.06%,25.74%,"(US$8,363,046.00)",US$0.00 ,US$0.00 ,"(US$100,903,261.00)","US$277,309,968.00 ","(US$294,005,598.00)",Emerging Markets Equities,30/10/2007,0.63%,E*TRADE,US$1.78 ,24/12/2018,US$0.31 ,3.92%,11.56,0.79,851,8.08%,35%,15%,1099,US$42.17 ,US$46.38 ,US$46.02 ,US$46.22 ,66.29,A,A-,B,A-,A-,B+,A,N/A,N/A,N/A,N/A,N/A,N/A
PXH,Invesco FTSE RAFI Emerging Markets ETF,Equity,"US$1,321,058,375.00 ",10.02%,"635,145",US$21.75 ,-0.64%,No,No,1.59%,7.04%,-9.22%,77.88%,34.22%,"US$37,868,259.00 ","US$19,278,594.00 ","US$37,868,259.00 ","US$264,477,857.50 ","US$752,598,785.50 ","US$804,841,950.00 ",Emerging Markets Equities,27/9/2007,0.50%,N/A,US$0.65 ,24/12/2018,US$0.09 ,3.02%,10.15,0.95,333,24.63%,35%,15%,1099,US$20.13 ,US$21.83 ,US$21.68 ,US$21.79 ,63.71,A-,A-,A-,B,B-,B+,A-,4.19,17.44%,11.41%,521.88,2.17%,3.07%
