Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
EXI,iShares S&P Global Industrials ETF,Equity,"US$213,377,625.00 ",9.65%,"28,405",US$85.44 ,0.20%,No,No,1.85%,7.96%,-10.69%,40.42%,37.82%,"US$16,069,422.50 ","US$4,127,310.50 ","US$12,240,921.50 ","(US$50,528,679.50)","US$13,847,656.50 ","(US$145,534,343.50)",Industrials Equities,21/9/2006,0.47%,N/A,US$1.72 ,18/12/2018,US$0.61 ,2.04%,16.78,1.04,224,25.30%,35%,15%,1099,US$78.84 ,US$85.80 ,US$85.18 ,US$85.69 ,61.43,B-,A-,B,B,B+,C+,A,6.32,79.52%,76.56%,161.38,24.59%,5.67%
RING,iShares MSCI Global Gold Miners ETF,Equity,"US$202,683,748.00 ",8.26%,"169,889",US$17.56 ,-0.68%,No,No,5.85%,6.42%,-8.23%,50.95%,-8.17%,"US$12,151,730.00 ","US$2,576,766.00 ","US$12,151,730.00 ","(US$98,214,741.50)","US$204,829,883.50 ","US$238,043,418.50 ",Materials,31/1/2012,0.39%,Fidelity,US$0.11 ,18/12/2018,US$0.04 ,0.64%,17.55,-0.3,42,67.59%,35%,15%,1099,US$15.40 ,US$17.50 ,US$17.37 ,US$17.70 ,65.07,B,A-,A,C,C+,B-,B+,4.91,29.07%,30.97%,538.6,4.26%,0.00%
GCOW,Pacer Global Cash Cows Dividend ETF,Equity,"US$194,679,550.00 ",7.52%,"37,700",US$30.02 ,-0.03%,No,No,1.69%,5.26%,-4.77%,N/A,N/A,"(US$4,171,275.00)",US$0.00 ,US$0.00 ,"US$54,688,250.00 ","US$143,764,765.00 ","US$143,764,765.00 ",Large Cap Blend Equities,23/2/2016,0.60%,N/A,US$1.10 ,24/12/2018,US$0.26 ,3.67%,13.02,0.73,101,21.53%,39%,20%,1099,US$28.42 ,US$29.99 ,US$29.92 ,US$30.10 ,62.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.19,57.14%,72.80%,263.45,19.87%,8.83%
IPKW,Invesco International BuyBack Achievers??ETF,Equity,"US$193,450,726.00 ",8.40%,"65,440",US$31.23 ,0.26%,No,No,0.61%,5.69%,-19.47%,34.40%,N/A,"(US$20,584,295.00)","(US$4,648,354.50)","(US$4,648,354.50)","(US$19,022,544.50)","US$133,814,176.00 ","US$198,415,596.49 ",Global Equities,27/2/2014,0.55%,N/A,US$0.75 ,24/12/2018,US$0.26 ,2.41%,14.11,0.94,36,45.79%,35%,15%,1099,US$29.68 ,US$31.45 ,US$31.16 ,US$31.31 ,59.44,B-,B,C+,N/A,A,C+,N/A,5.71,77.98%,56.25%,133.22,4.79%,4.34%
PIZ,Invesco DWA Developed Markets Momentum ETF,Equity,"US$190,327,290.00 ",6.68%,"54,205",US$24.50 ,-0.04%,No,No,0.91%,5.60%,-15.96%,15.36%,3.67%,"(US$8,288,490.50)",US$0.00 ,"(US$8,288,490.50)","(US$28,286,658.50)","(US$48,052,028.50)","(US$394,461,218.50)",Foreign Large Cap Equities,28/12/2007,0.81%,Charles Schwab,US$0.24 ,24/12/2018,US$0.04 ,0.99%,24.04,0.88,101,25.75%,35%,15%,1099,US$23.17 ,US$24.79 ,US$24.46 ,US$24.55 ,60.19,B-,B+,C,A+,B,C+,B-,6.7,83.81%,87.24%,74.73,9.70%,7.75%
DOO,WisdomTree International Dividend ex-Financials Fund,Equity,"US$177,563,315.00 ",6.31%,"22,092",US$40.29 ,0.00%,No,No,1.64%,4.46%,-8.45%,22.33%,7.71%,"US$7,858,668.00 ",US$0.00 ,"US$7,858,668.00 ","(US$13,071,468.50)","(US$64,010,118.50)","(US$105,367,210.00)",Foreign Large Cap Equities,16/6/2006,0.58%,E*TRADE,US$1.59 ,24/12/2018,US$0.29 ,3.99%,13.95,0.73,89,18.90%,35%,15%,1099,US$38.39 ,US$40.32 ,N/A,N/A,61.28,B-,B+,C+,C+,A-,A,C+,6.79,88.86%,88.88%,350.27,20.14%,5.16%
GRES,IQ Global Resources ETF,Equity,"US$177,113,569.00 ",7.57%,"25,421",US$27.14 ,-0.18%,No,No,1.31%,5.89%,-5.08%,32.30%,0.72%,"(US$10,410,920.00)",US$0.00 ,"(US$7,895,511.00)","(US$51,411,756.50)","US$113,247,468.00 ","US$92,582,993.50 ",Large Cap Blend Equities,27/10/2009,0.78%,Charles Schwab,US$0.19 ,27/12/2018,US$0.20 ,0.72%,14.4,0.53,206,33.36%,35%,15%,1099,US$25.55 ,US$27.28 ,N/A,N/A,64.74,B+,B-,C,A-,A-,B+,A,5.33,73.87%,42.72%,854.61,6.08%,8.16%
ARKQ,ARK Industrial Innovation ETF,Equity,"US$171,279,827.00 ",13.02%,"29,782",US$33.33 ,0.21%,No,No,3.57%,12.11%,-5.19%,111.27%,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"US$39,519,290.00 ","US$140,464,130.50 ","US$152,319,783.50 ",Global Equities,30/9/2014,0.75%,N/A,US$0.55 ,27/12/2018,US$0.55 ,1.70%,23.53,1.38,36,63.62%,35%,15%,1099,US$29.79 ,US$33.13 ,US$33.12 ,US$33.47 ,60.44,N/A,N/A,C,N/A,N/A,N/A,N/A,5.15,20.48%,37.34%,29.33,7.42%,14.58%
PIO,Invesco Global Water ETF,Equity,"US$170,305,875.00 ",9.01%,"13,735",US$25.16 ,-0.16%,No,No,1.76%,7.29%,-4.27%,33.23%,21.43%,"(US$3,677,974.50)","(US$2,482,172.00)","(US$3,677,974.50)","(US$14,767,065.00)","(US$78,083,286.50)","(US$95,456,384.50)",Mid Cap Growth Equities,13/6/2007,0.75%,N/A,US$0.46 ,24/12/2018,US$0.11 ,1.83%,20,0.95,46,55.90%,35%,15%,1099,US$23.24 ,US$25.37 ,US$25.09 ,US$25.27 ,62.48,B+,B+,B+,B+,A-,A,A,6.13,90.24%,70.70%,164.19,1.42%,18.18%
ACIM,SPDR MSCI ACWI IMI ETF,Equity,"US$165,608,440.00 ",8.12%,"30,985",US$75.27 ,-0.17%,No,No,1.00%,6.42%,-7.39%,38.91%,40.47%,US$0.00 ,US$0.00 ,US$0.00 ,"US$72,040,958.00 ","US$109,195,558.00 ","US$133,670,823.00 ",Large Cap Blend Equities,27/2/2012,0.25%,Charles Schwab,US$1.31 ,21/12/2018,US$0.73 ,1.76%,14.09,0.82,953,9.83%,35%,15%,1099,US$70.47 ,US$75.99 ,N/A,N/A,59.32,A-,B-,A,A,C,A-,A-,5.84,49.45%,60.88%,180.03,9.88%,5.72%
CUT,Invesco MSCI Global Timber ETF,Equity,"US$165,366,420.00 ",14.46%,"18,629",US$27.54 ,0.07%,No,No,0.88%,10.87%,-14.31%,39.93%,24.11%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$30,578,936.00)","(US$42,936,270.50)","(US$128,493,959.50)",Materials,9/11/2007,0.55%,N/A,US$0.82 ,24/12/2018,US$0.82 ,3.00%,14.94,1.08,79,43.90%,35%,15%,1099,US$24.66 ,US$28.11 ,US$27.41 ,US$27.71 ,64.1,A-,B+,C+,A+,A,B,B-,5.58,57.14%,51.55%,402.85,0.61%,5.44%
DUST,Direxion Daily Gold Miners Bear 3X Shares,Equity,"US$162,176,695.00 ",-19.55%,"2,998,865",US$18.39 ,1.60%,Yes,3x,-18.08%,-17.20%,-15.30%,-97.29%,-98.77%,"US$48,358,223.50 ","US$60,827,339.50 ","US$35,157,191.00 ","(US$393,982,440.00)","US$467,553,905.31 ","US$272,512,042.83 ",Leveraged Equities,8/12/2010,1.08%,N/A,US$0.08 ,27/12/2018,US$0.02 ,0.46%,0,0.63,46,58.29%,35%,15%,1099,US$18.66 ,US$26.77 ,US$17.97 ,US$19.05 ,34.39,B-,A,A-,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PZD,Invesco Cleantech??ETF,Equity,"US$159,098,901.00 ",10.89%,"9,031",US$40.81 ,0.34%,No,No,1.67%,9.64%,-8.52%,55.69%,39.04%,US$0.00 ,US$0.00 ,US$0.00 ,"US$10,840,848.50 ","US$61,319,193.00 ","US$54,004,648.00 ",Alternative Energy Equities,24/10/2006,0.67%,N/A,US$0.23 ,24/12/2018,US$0.02 ,0.56%,22.07,1.2,51,30.85%,35%,15%,1099,US$37.20 ,US$41.03 ,US$40.64 ,US$40.96 ,61.15,B,B,B,B,A+,C,A,6.65,86.75%,85.20%,52.33,0.00%,27.41%
CIZ,VictoryShares Developed Enhanced Volatility Weighted ETF,Equity,"US$139,781,858.00 ",2.53%,"32,552",US$31.49 ,0.19%,No,No,0.42%,1.91%,-12.69%,13.82%,N/A,"(US$4,675,096.50)","(US$3,134,275.00)","(US$3,134,275.00)","(US$2,576,239.00)","US$106,903,030.00 ","US$141,349,025.00 ",Large Cap Blend Equities,30/9/2014,0.45%,N/A,US$0.85 ,16/1/2019,US$0.01 ,2.72%,13.69,0.59,497,76.76%,35%,15%,1099,US$30.97 ,US$31.53 ,US$31.38 ,US$31.55 ,57.28,B,B-,B,N/A,A,B-,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IMTM,iShares Edge MSCI Intl Momentum Factor ETF,Equity,"US$136,659,023.00 ",6.45%,"48,681",US$27.25 ,-0.33%,No,No,1.57%,4.29%,-14.32%,19.84%,N/A,"(US$10,686,100.00)",US$0.00 ,"(US$10,686,100.00)","US$28,113,022.00 ","US$139,249,812.00 ","US$144,203,812.00 ",Foreign Large Cap Equities,13/1/2015,0.30%,N/A,US$0.60 ,18/12/2018,US$0.22 ,2.21%,19.33,0.75,292,27.04%,39%,20%,1099,US$26.05 ,US$27.30 ,N/A,N/A,58.66,B-,B,B+,C+,C+,B,N/A,6.52,64.90%,82.15%,169.6,11.90%,6.60%
TOK,iShares MSCI Kokusai ETF,Equity,"US$132,431,868.00 ",8.40%,"4,806",US$62.98 ,-0.06%,No,No,1.50%,6.46%,-5.98%,39.05%,41.04%,"(US$12,494,348.00)","(US$12,494,348.00)","(US$12,494,348.00)","(US$169,000,996.50)","(US$182,661,716.00)","(US$387,979,716.00)",Large Cap Growth Equities,10/12/2007,0.25%,N/A,US$1.59 ,18/12/2018,US$0.63 ,2.55%,18.35,0.95,1374,13.50%,35%,15%,1099,US$59.07 ,US$63.25 ,US$62.85 ,US$63.15 ,59.31,A,B+,A,A+,A-,A-,A,5.83,48.47%,60.58%,195.17,12.28%,5.96%
IDLB,Invesco FTSE International Low Beta Equal Weight ETF,Equity,"US$132,142,779.00 ",6.51%,"17,372",US$27.51 ,0.15%,No,No,0.53%,4.13%,-10.67%,26.60%,N/A,"US$1,342,268.00 ",US$0.00 ,"US$1,342,268.00 ","US$16,980,805.50 ","(US$15,866,025.50)","US$112,076,860.00 ",Foreign Large Cap Equities,5/11/2015,0.45%,N/A,US$0.63 ,24/12/2018,US$0.16 ,2.30%,16.03,0.76,847,1.86%,39%,20%,1099,US$26.36 ,US$27.78 ,N/A,N/A,57.22,N/A,A-,B-,N/A,N/A,N/A,N/A,5.76,83.49%,58.01%,234.44,8.56%,6.66%
KLDW,Knowledge Leaders Developed World ETF,Equity,"US$125,884,141.00 ",8.40%,"24,605",US$31.49 ,0.25%,No,No,0.80%,6.42%,-9.58%,36.31%,N/A,"(US$19,282,293.50)","(US$4,661,875.50)","(US$7,595,621.50)","US$16,454,619.00 ","US$106,352,656.00 ","US$114,874,663.50 ",Large Cap Growth Equities,8/7/2015,0.75%,N/A,US$0.29 ,24/12/2018,US$0.29 ,0.92%,26.92,0.87,328,6.54%,35%,15%,1099,US$29.60 ,US$31.69 ,US$31.46 ,US$31.53 ,59.49,N/A,C+,C,N/A,N/A,C,N/A,5.83,48.31%,60.56%,116.8,6.96%,7.27%
ACWF,iShares Edge MSCI Multifactor Global ETF,Equity,"US$115,530,687.00 ",9.66%,"162,926",US$28.48 ,-0.04%,No,No,1.42%,8.37%,-10.53%,42.96%,N/A,"(US$60,573,761.00)","(US$25,192,936.00)","(US$65,733,869.00)","US$82,945,995.50 ","US$108,435,926.00 ","US$110,778,926.00 ",Large Cap Blend Equities,28/4/2015,0.35%,N/A,US$0.53 ,28/12/2018,US$0.17 ,1.85%,12.21,0.94,406,14.94%,35%,15%,1099,US$26.21 ,US$28.70 ,US$28.40 ,US$28.55 ,62.33,C+,B-,B-,N/A,N/A,C+,B+,5.22,15.00%,39.24%,293.76,6.42%,6.17%
RBIN,Nationwide Risk-Based International Equity ETF,Equity,"US$114,434,775.00 ",6.59%,"4,000",US$24.26 ,-0.08%,No,No,0.89%,4.08%,-8.75%,N/A,N/A,"US$2,865,555.00 ","US$597,285.00 ","US$597,285.00 ","(US$1,185,385.00)","(US$1,205,990.00)","(US$1,205,990.00)",Foreign Large Cap Equities,15/9/2017,0.42%,N/A,US$0.67 ,27/12/2018,US$0.67 ,2.77%,13.54,0.55,214,8.99%,39%,20%,1099,US$23.27 ,US$24.38 ,US$24.25 ,US$24.29 ,58.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.47,60.75%,80.79%,160.43,12.79%,8.66%
EFAD,ProShares MSCI EAFE Dividend Growers ETF,Equity,"US$110,981,280.00 ",7.01%,"27,592",US$35.73 ,0.31%,No,No,0.99%,4.81%,-8.34%,14.33%,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"US$13,769,786.00 ","US$96,421,551.00 ","US$110,082,551.23 ",Foreign Large Cap Equities,19/8/2014,0.50%,N/A,US$0.79 ,26/12/2018,US$0.09 ,2.06%,13.87,0.78,55,20.24%,35%,15%,1099,US$34.03 ,US$35.90 ,US$35.61 ,US$35.84 ,60.18,C+,B,B-,N/A,N/A,B,C+,6.52,66.06%,82.32%,387.59,8.76%,7.06%
VSGX,Vanguard ESG International Stock ETF,Equity,"US$109,733,000.00 ",7.80%,"42,856",US$47.97 ,-0.31%,No,No,0.63%,5.52%,N/A,N/A,N/A,"US$41,537,000.00 ","US$9,484,000.00 ","US$41,537,000.00 ","US$103,825,400.00 ","US$103,825,400.00 ","US$103,825,400.00 ",Foreign Large Cap Equities,20/9/2018,0.15%,N/A,US$0.17 ,24/12/2018,US$0.17 ,0.36%,13.1,0.71,887,9.52%,39%,20%,1099,US$45.33 ,US$48.40 ,N/A,N/A,60.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.29,96.51%,75.69%,147.14,2.29%,6.34%
BLOK,Amplify Transformational Data Sharing ETF,Equity,"US$105,166,159.00 ",11.85%,"47,402",US$16.52 ,-0.24%,No,No,-0.96%,7.83%,-18.81%,N/A,N/A,"(US$4,863,270.00)",US$0.00 ,"(US$4,863,270.00)","(US$49,841,595.00)","US$77,283,020.00 ","US$77,283,020.00 ",Global Equities,17/1/2018,0.70%,N/A,US$0.19 ,28/12/2018,US$0.19 ,1.18%,17.2,1.05,54,35.79%,39%,20%,1099,US$15.34 ,US$16.80 ,US$16.44 ,US$16.63 ,55.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.36,37.37%,43.46%,29.4,0.00%,3.31%
BLES,Inspire Global Hope Large Cap ETF,Equity,"US$101,017,250.00 ",10.91%,"22,755",US$26.89 ,0.26%,No,No,1.13%,8.51%,-7.73%,N/A,N/A,"US$10,490,418.00 ","US$2,636,620.00 ","US$10,490,418.00 ","US$49,640,216.00 ","US$97,277,801.50 ","US$97,277,801.50 ",Large Cap Blend Equities,28/2/2017,0.61%,N/A,US$0.58 ,14/12/2018,US$0.22 ,2.16%,15.27,0.78,301,9.48%,20%,39%,1099,US$24.77 ,US$27.19 ,US$26.85 ,US$26.96 ,62.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.7,37.71%,55.96%,439.2,5.06%,5.80%
VMOT,Alpha Architect Value Momentum Trend ETF,Equity,"US$100,429,200.00 ",3.46%,"34,298",US$25.10 ,-0.04%,No,No,-0.26%,3.27%,-17.36%,N/A,N/A,"(US$1,186,140.00)",US$0.00 ,"US$27,680.00 ","US$44,232,975.00 ","US$108,837,400.00 ","US$108,837,400.00 ",Small Cap Blend Equities,3/5/2017,0.79%,N/A,US$0.22 ,27/12/2018,US$0.04 ,0.89%,11.6,0.83,7,100.00%,39%,20%,1099,US$24.29 ,US$25.34 ,US$25.02 ,US$25.18 ,53.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IQDE,FlexShares International Quality Dividend Defensive Index Fund,Equity,"US$96,578,136.00 ",7.72%,"43,435",US$22.05 ,-0.18%,No,No,1.47%,5.96%,-13.14%,21.75%,8.04%,"US$10,594,908.00 ","US$6,483,112.00 ","US$10,594,908.00 ","US$10,850,596.00 ","US$43,878,167.00 ","US$88,355,677.11 ",Foreign Large Cap Equities,12/4/2013,0.47%,N/A,US$1.05 ,21/12/2018,US$0.20 ,4.86%,15.93,0.76,182,17.79%,35%,15%,1099,US$20.70 ,US$22.14 ,N/A,N/A,63.5,B+,B+,B,N/A,B-,A,B+,5.89,15.67%,62.60%,254.85,8.45%,5.18%
DBAW,Xtrackers MSCI All World ex US Hedged Equity Fund,Equity,"US$96,261,961.00 ",7.39%,"27,906",US$26.02 ,0.19%,No,No,1.01%,5.43%,-5.70%,26.99%,28.10%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$31,356,546.50)","US$22,577,182.50 ","US$87,547,170.68 ",Foreign Large Cap Equities,23/1/2014,0.40%,N/A,US$0.71 ,19/12/2018,US$0.44 ,2.75%,12.15,0.74,1457,10.27%,35%,15%,1099,US$24.57 ,US$26.18 ,US$25.98 ,US$26.04 ,60.53,A,A-,B+,N/A,N/A,A-,A,6.04,25.13%,67.78%,206.08,8.69%,5.25%
GAMR,ETFMG Video Game Tech ETF,Equity,"US$95,289,525.00 ",8.92%,"16,955",US$42.37 ,-0.73%,No,No,-0.49%,5.98%,-16.27%,N/A,N/A,"(US$4,263,340.00)","(US$4,263,340.00)","(US$4,263,340.00)","US$18,617,555.00 ","US$104,370,625.00 ","US$104,370,625.00 ",Global Equities,9/3/2016,0.82%,N/A,US$0.61 ,24/12/2018,US$0.12 ,1.45%,16.9,1.05,79,27.02%,39%,20%,1099,US$40.24 ,US$43.09 ,N/A,N/A,56.11,N/A,N/A,C+,N/A,N/A,N/A,N/A,4.88,18.86%,29.95%,13.93,3.65%,0.86%
DEW,WisdomTree Global Equity Income Fund,Equity,"US$89,933,950.00 ",7.59%,"14,815",US$44.91 ,-0.13%,No,No,1.75%,5.40%,-6.69%,32.26%,21.40%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$11,184,057.50)","US$1,601,679.00 ","(US$22,558,471.00)",Large Cap Blend Equities,16/6/2006,0.58%,E*TRADE,US$1.74 ,24/12/2018,US$0.40 ,3.92%,13.99,0.87,683,19.66%,35%,15%,1099,US$42.52 ,US$44.93 ,US$44.80 ,US$45.06 ,61.7,B,B,B-,B-,B-,A,A-,5.58,17.14%,51.33%,376.36,14.63%,6.24%
DGT,SPDR Global Dow ETF,Equity,"US$89,895,596.00 ",8.04%,"5,305",US$81.56 ,-0.10%,No,No,0.99%,5.89%,-7.89%,45.85%,38.29%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$80,140.00)","(US$24,110,827.00)","(US$26,819,390.55)",Large Cap Blend Equities,29/9/2000,0.50%,N/A,US$1.89 ,24/12/2018,US$0.43 ,2.31%,12.38,0.94,152,8.73%,35%,15%,1099,US$76.80 ,US$82.04 ,US$81.40 ,US$81.72 ,60.41,B-,C+,C+,A-,A-,B,B,5.78,43.69%,58.76%,292.52,12.73%,5.32%
IVAL,ValueShares International Quantitative Value ETF,Equity,"US$89,080,640.00 ",11.81%,"11,452",US$27.93 ,-0.07%,No,No,0.36%,9.08%,-16.61%,32.46%,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"US$23,922,805.00 ","US$66,359,010.00 ","US$89,292,190.00 ",Foreign Large Cap Equities,17/12/2014,0.79%,N/A,US$0.52 ,18/9/2017,US$0.05 ,1.61%,7.79,0.85,46,24.85%,35%,15%,1099,US$25.48 ,US$28.36 ,N/A,N/A,63.6,C+,B-,C,N/A,A,B-,N/A,5.81,93.58%,59.78%,222.31,4.74%,4.58%
