Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
QAI,IQ Hedge Multi-Strategy Tracker ETF,Alternatives,"$1,287,085,255.00",2.80%,"370,506",$29.69,0.03%,No,No,0.44%,1.92%,-2.32%,7.82%,7.15%,"-$73,513,742.50","-$48,749,637.50","-$59,051,202.50","$205,785,776.00","$155,449,755.50","$617,698,275.00",Long-Short,2009-03-25,0.79%,Charles Schwab,$0.55,2018-12-27,$0.55,1.85%,13.33,0.29,77,63.56%,35%,15%,1099,$29.09,$29.71,$29.65,$29.72,63.61,A-,A+,A-,B,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNA,IQ Merger Arbitrage ETF,Alternatives,"$853,811,312.00",1.73%,"281,006",$32.26,-0.15%,No,No,0.31%,1.48%,1.86%,15.32%,21.31%,"$4,827,592.00","$4,835,550.00","$4,827,592.00","$497,843,756.50","$758,779,341.00","$846,361,915.50",Hedge Fund,2009-11-17,0.78%,Charles Schwab,$0.00,2016-12-28,$0.06,0.00%,19.00,0.11,39,68.12%,35%,15%,1099,$31.74,$32.36,$32.19,$32.34,60.08,A,B+,B+,A,B+,N/A,N/A,4.69,0.00%,25.11%,221.07,13.13%,3.70%
WTMF,WisdomTree Managed Futures Strategy Fund,Alternatives,"$239,562,181.00",-1.16%,"87,706",$38.31,0.05%,No,No,0.08%,-0.80%,-2.32%,-4.00%,-3.39%,"-$17,328,445.00","-$3,832,283.00","-$15,388,808.00","$80,259,298.00","$92,370,130.00","$92,370,130.00",Hedge Fund,2011-01-05,0.65%,N/A,$1.39,2018-12-24,$1.39,3.63%,0.00,-0.03,25,128.29%,39%,20%,1099,$38.27,$38.67,$38.24,$38.38,43.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FTLS,First Trust Long/Short Equity Fund,Alternatives,"$195,262,144.00",3.32%,"51,056",$38.32,0.10%,No,No,0.92%,2.73%,-4.98%,24.59%,N/A,"$14,613,251.50",$0.00,"-$7,576,554.50","$52,919,869.00","$71,790,148.00","$171,112,967.50",Long-Short,2014-09-08,1.48%,N/A,$0.32,2018-12-18,$0.12,0.84%,17.37,0.65,139,20.46%,35%,15%,1099,$37.24,$38.34,$38.25,$38.36,57.53,N/A,N/A,C+,N/A,N/A,N/A,N/A,5.02,34.52%,33.78%,86.06,9.33%,7.32%
DYLS,WisdomTree Dynamic Long/Short U.S. Equity Fund,Alternatives,"$130,524,808.00",-0.10%,"83,569",$28.94,0.42%,No,No,0.10%,1.26%,-14.29%,20.27%,N/A,"-$24,559,131.50","-$7,251,865.00","-$20,174,903.00","$35,584,086.00","$138,749,697.40","$140,009,142.90",Long-Short,2015-12-23,0.48%,N/A,$0.03,2018-12-28,$0.03,0.11%,13.64,0.88,101,19.54%,39%,20%,1099,$28.54,$29.03,$28.83,$29.03,41.56,N/A,N/A,A,N/A,N/A,N/A,N/A,5.07,39.29%,35.09%,202.19,6.08%,4.76%
RLY,SPDR SSgA Multi-Asset Real Return ETF,Alternatives,"$129,722,832.00",8.70%,"62,798",$24.73,0.53%,No,No,1.77%,6.00%,-6.49%,22.52%,-2.95%,"-$15,215,290.00","-$2,430,419.00","-$8,347,816.00","$29,568,056.00","$47,356,166.00","$55,707,671.43",Hedge Fund,2012-04-25,0.50%,Charles Schwab,$0.63,2018-12-27,$0.29,2.54%,12.89,0.60,11,100.00%,35%,15%,1099,$23.30,$24.70,$24.60,$24.80,62.73,A,A,A,B,B-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DIVY,Reality Shares DIVS ETF,Alternatives,"$71,126,892.00",3.80%,"17,852",$25.95,0.27%,No,No,-0.46%,1.33%,-2.46%,12.84%,N/A,"$648,439.50","$1,947,765.50","$648,439.50","$12,196,552.00","$28,684,846.50","$66,481,037.73",Global Equities,2014-12-18,0.85%,N/A,$0.16,2018-12-26,$0.16,0.61%,0.00,0.22,N/A,N/A,35%,15%,1099,$25.35,$26.33,$25.77,$26.10,51.58,N/A,N/A,B,N/A,N/A,N/A,N/A,6.7,81.03%,87.11%,0.0,0.00%,0.00%
CPI,IQ Real Return ETF,Alternatives,"$57,278,448.00",2.33%,"7,674",$27.23,0.04%,No,No,0.35%,1.95%,-0.40%,5.84%,7.38%,$0.00,$0.00,$0.00,"$29,092,922.50","$30,466,257.00","$34,382,568.50",Hedge Fund,2009-10-27,0.44%,N/A,$0.35,2018-12-27,$0.35,1.28%,14.26,0.19,12,98.92%,35%,15%,1099,$26.75,$27.29,N/A,N/A,60.60,B+,B,A+,B-,A+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JPMF,JPMorgan Managed Futures Strategy ETF,Alternatives,"$50,192,008.00",-0.83%,"3,025",$23.22,-0.26%,No,No,0.09%,-0.81%,-7.58%,N/A,N/A,$0.00,$0.00,$0.00,"$2,435,198.00","$3,681,315.00","$3,681,315.00",Hedge Fund,2017-12-05,0.59%,N/A,$0.16,2018-12-24,$0.16,0.70%,0.00,0.45,N/A,N/A,39%,20%,1099,$23.03,$23.43,$23.22,$23.22,46.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTUS,Hull Tactical US ETF,Alternatives,"$49,401,540.00",7.11%,"12,498",$24.02,-0.41%,No,No,1.18%,4.43%,-4.15%,6.88%,N/A,"-$2,361,259.50",$0.00,"-$2,361,259.50","-$45,895,405.00","$19,672,506.50","$49,419,506.50",Long-Short,2015-06-24,0.96%,N/A,$2.47,2018-12-24,$2.26,10.31%,17.02,0.56,3,100.00%,35%,15%,1099,$23.03,$24.06,$23.91,$24.15,56.31,N/A,N/A,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
