Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VXXB,iPath Series B S&P 500 VIX Short-Term Futures ETN,Volatility,"US$418,873,266.00 ",-25.32%,"3,081,102",US$35.09 ,-0.96%,No,No,-5.75%,-20.00%,20.54%,N/A,N/A,"US$169,607,551.39 ","US$27,034,045.32 ","US$162,765,868.67 ","US$233,037,706.04 ","US$234,639,033.06 ","US$234,639,033.06 ",Volatility,17/1/2018,0.89%,N/A,US$0.00 ,N/A,N/A,0.00%,0,-2.69,1,100.00%,39%,20%,1099,US$34.70 ,US$43.95 ,US$34.78 ,US$35.53 ,40.74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SVXY,ProShares Short VIX Short-Term Futures,Volatility,"US$394,605,114.00 ",14.49%,"2,962,619",US$48.43 ,0.50%,Yes,0.5x,2.89%,10.93%,-90.05%,-38.10%,-56.96%,US$0.00 ,US$0.00 ,US$0.00 ,"US$1,139,763,586.88 ","US$1,543,461,505.38 ","US$2,001,266,735.86 ",Leveraged Volatility,3/10/2011,1.38%,N/A,US$0.00 ,N/A,N/A,0.00%,0,4.23,1,100.00%,23%,23%,K-1,US$43.49 ,US$48.53 ,US$48.14 ,US$48.65 ,57.46,A-,A-,B,A,B-,N/A,A-,N/A,N/A,N/A,N/A,N/A,N/A
TVIX,VelocityShares Daily 2x VIX Short Term ETN,Volatility,"US$344,876,968.00 ",-44.75%,"14,129,753",US$39.18 ,-1.71%,No,2x,-10.71%,-36.14%,-33.48%,-99.81%,-99.98%,"US$108,243,340.00 ","US$4,568,340.00 ","US$108,243,340.00 ","US$123,640,679.77 ","US$1,534,919,750.06 ","US$2,242,078,067.70 ",Leveraged Volatility,29/11/2010,1.65%,N/A,US$0.00 ,N/A,N/A,0.00%,0,-8.51,1,100.00%,35%,15%,1099,US$37.48 ,US$61.25 ,US$38.43 ,US$40.13 ,40.56,C+,A,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UVXY,ProShares Ultra VIX Short-Term Futures,Volatility,"US$317,044,810.00 ",-36.34%,"7,509,153",US$52.03 ,-1.63%,No,1.5x,-8.67%,-29.25%,-3.65%,-99.73%,-99.98%,"US$246,964,128.50 ",US$0.00 ,"US$179,041,835.50 ","(US$96,967,357.52)","US$1,806,723,116.49 ","US$2,393,257,491.31 ",Leveraged Volatility,3/10/2011,1.65%,N/A,US$0.00 ,N/A,N/A,0.00%,0,-8.01,1,100.00%,23%,23%,K-1,US$50.79 ,US$73.55 ,US$51.31 ,US$53.00 ,40.44,B-,A,B,C,C,N/A,B+,N/A,N/A,N/A,N/A,N/A,N/A
VIXY,ProShares VIX Short-Term Futures ETF,Volatility,"US$154,576,711.00 ",-25.25%,"1,551,144",US$28.86 ,-0.99%,No,No,-5.81%,-19.99%,20.05%,-90.98%,-95.63%,"US$51,524,471.25 ","US$787,006.50 ","US$26,103,504.25 ","(US$43,715,222.75)","US$300,753,737.33 ","US$123,384,794.16 ",Volatility,3/1/2011,0.87%,N/A,US$0.00 ,N/A,N/A,0.00%,0,-4.55,1,100.00%,23%,23%,K-1,US$28.53 ,US$36.18 ,US$28.60 ,US$29.20 ,40.87,A,A-,A,B,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZIV,VelocityShares Daily Inverse VIX Medium Term ETN,Volatility,"US$102,593,582.00 ",14.34%,"79,705",US$69.07 ,0.85%,Yes,No,3.09%,12.47%,-22.35%,85.82%,87.79%,"US$1,636,192.50 ",US$0.00 ,"US$1,636,192.50 ","(US$63,397,487.50)","(US$18,661,118.56)","(US$12,458,702.75)",Inverse Volatility,29/11/2010,1.35%,N/A,US$0.00 ,N/A,N/A,0.00%,0,1.92,1,100.00%,35%,15%,1099,US$61.09 ,US$69.06 ,US$68.47 ,US$69.50 ,61.09,B+,B,C+,A,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UOCT,Innovator S&P 500 Ultra Buffer ETF,Volatility,"US$67,387,395.00 ",2.76%,"68,706",US$23.67 ,-0.13%,No,No,0.85%,2.67%,N/A,N/A,N/A,"(US$6,886,837.50)",US$0.00 ,"US$577,515.00 ","US$68,352,813.50 ","US$68,352,813.50 ","US$68,352,813.50 ",N/A,1/10/2018,0.79%,N/A,US$0.00 ,N/A,N/A,0.00%,0,0.4,N/A,N/A,39%,20%,1099,US$23.04 ,US$23.69 ,US$23.57 ,US$23.82 ,57.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VIXM,ProShares VIX Mid-Term Futures ETF,Volatility,"US$46,354,829.00 ",-13.01%,"59,705",US$23.26 ,-0.89%,No,No,-3.28%,-11.42%,10.45%,-60.44%,-70.95%,"(US$2,932,620.50)","(US$1,172,099.00)","(US$2,932,620.50)","US$15,857,839.75 ","US$53,680,692.00 ","US$43,956,820.06 ",Volatility,3/1/2011,0.87%,N/A,US$0.00 ,N/A,N/A,0.00%,0,-1.89,1,100.00%,23%,23%,K-1,US$23.21 ,US$26.36 ,US$23.12 ,US$23.47 ,37.79,A+,B+,A+,B+,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VIIX,VelocityShares Daily Long VIX Short-Term ETN,Volatility,"US$43,882,669.00 ",-25.38%,"98,881",US$14.82 ,-1.07%,No,No,-5.96%,-20.11%,20.88%,-90.90%,-95.56%,"US$27,340,304.86 ","US$31,963,010.00 ","US$27,340,592.50 ","US$32,316,752.36 ","US$50,900,109.57 ","US$56,854,567.85 ",Volatility,29/11/2010,0.89%,N/A,US$0.00 ,N/A,N/A,0.00%,0,-4.54,1,100.00%,35%,15%,1099,US$14.66 ,US$18.57 ,US$14.69 ,US$15.00 ,40.82,B-,A-,A-,B-,B-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UJUL,Innovator S&P 500 Ultra Buffer ETF,Volatility,"US$43,335,915.00 ",3.11%,"45,163",US$24.50 ,0.04%,No,No,0.78%,2.49%,N/A,N/A,N/A,"(US$1,149,885.00)","US$1,214,720.00 ","US$3,617,490.00 ","US$40,464,645.00 ","US$40,464,645.00 ","US$40,464,645.00 ",N/A,8/8/2018,0.79%,N/A,US$0.00 ,N/A,N/A,0.00%,0,0.42,N/A,N/A,39%,20%,1099,US$23.90 ,US$24.50 ,US$24.44 ,US$24.56 ,56.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
POCT,Innovator S&P 500 Power Buffer ETF,Volatility,"US$36,844,120.00 ",4.38%,"23,181",US$23.84 ,-0.13%,No,No,0.80%,3.38%,N/A,N/A,N/A,"US$2,947,200.00 ","US$590,420.00 ","US$2,947,200.00 ","US$32,611,195.00 ","US$32,611,195.00 ","US$32,611,195.00 ",N/A,1/10/2018,0.79%,N/A,US$0.00 ,N/A,N/A,0.00%,0,0.52,N/A,N/A,39%,20%,1099,US$23.05 ,US$23.92 ,US$23.80 ,US$23.89 ,57.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BOCT,Innovator S&P 500 Buffer ETF,Volatility,"US$23,515,400.00 ",6.25%,"17,587",US$23.45 ,0.13%,No,No,1.12%,4.69%,N/A,N/A,N/A,"(US$8,339,812.50)",US$0.00 ,US$0.00 ,"US$20,632,645.00 ","US$20,632,645.00 ","US$20,632,645.00 ",N/A,1/10/2018,0.79%,N/A,US$0.00 ,N/A,N/A,0.00%,0,0.69,N/A,N/A,39%,20%,1099,US$22.39 ,US$23.51 ,N/A,N/A,58.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VXZB,iPath Series B S&P 500® VIX Mid-Term Futures ETN,Volatility,"US$13,214,161.00 ",-12.83%,"3,513",US$19.43 ,-0.72%,No,No,-2.90%,-11.20%,14.63%,N/A,N/A,"US$1,460,822.99 ","US$271,516.50 ","US$1,331,719.97 ","US$1,662,496.10 ","US$1,681,285.79 ","US$1,681,285.79 ",Volatility,17/1/2018,0.89%,N/A,US$0.00 ,N/A,N/A,0.00%,0,-1.38,1,100.00%,39%,20%,1099,US$19.37 ,US$21.90 ,US$19.32 ,US$19.59 ,38.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EXIV,VelocityShares 1X Daily Inverse VSTOXX Futures ETN,Volatility,"US$12,033,560.00 ",42.77%,"10,355",US$29.91 ,3.96%,Yes,No,4.29%,32.29%,-44.71%,N/A,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"(US$21,875,572.00)","(US$23,699,085.00)","(US$23,699,085.00)",Inverse Volatility,2/5/2017,1.35%,N/A,US$0.00 ,N/A,N/A,0.00%,0,3.44,1,100.00%,39%,20%,1099,US$22.26 ,US$30.43 ,US$29.17 ,US$30.41 ,61.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PJUL,Innovator S&P 500 Power Buffer ETF,Volatility,"US$8,675,765.00 ",3.54%,"5,805",US$24.83 ,-0.08%,No,No,0.79%,2.73%,N/A,N/A,N/A,"US$3,055,842.50 ","US$613,752.50 ","US$3,055,842.50 ","US$6,195,205.00 ","US$6,195,205.00 ","US$6,195,205.00 ",N/A,8/8/2018,0.79%,N/A,US$0.00 ,N/A,N/A,0.00%,0,0.46,N/A,N/A,39%,20%,1099,US$24.22 ,US$24.86 ,N/A,N/A,58.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
XVZ,iPath S&P 500 Dynamic VIX ETN,Volatility,"US$7,203,604.00 ",-10.52%,"2,782",US$18.55 ,-1.33%,No,No,-1.75%,-7.48%,-17.45%,-30.99%,-45.60%,"US$5,745.40 ","US$5,745.40 ","US$5,745.40 ","(US$11,013,741.20)","US$5,056,078.42 ","(US$64,197,972.88)",Volatility,17/8/2011,0.95%,N/A,US$0.00 ,N/A,N/A,0.00%,0,-0.48,1,100.00%,35%,15%,1099,US$18.49 ,US$19.93 ,US$18.47 ,US$18.71 ,35.67,A,B,B-,A-,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BJUL,Innovator S&P 500 Buffer ETF,Volatility,"US$3,704,055.00 ",5.37%,"2,481",US$24.71 ,-0.12%,No,No,0.98%,4.15%,N/A,N/A,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"US$1,236,002.75 ","US$1,236,002.75 ","US$1,236,002.75 ",N/A,29/8/2018,0.79%,N/A,US$0.00 ,N/A,N/A,0.00%,0,0.69,N/A,N/A,39%,20%,1099,US$23.75 ,US$24.78 ,N/A,N/A,58.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
